#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5035.550328012633     All      3.834466610970996         0.2709718836751307       0.2951276662485291        -1.1475772759022205      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4205.0489939492045    All      -2.8392999069782343       0.7310462419434671       -0.29580443154068253      1.1497788084041134       
Check         All|All|All                            All                   All      0.9951667039927614        1.0020181256185978       -0.0006767652921534362    0.002201532501892922     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5035.550328012633     All      0.00035388533980138133    -4.20432462202723e-05    -0.000802716529169087     -0.00016478851808398     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4205.0489939492045    All      -0.0009299409124409422    0.0001536601955341691    -0.0012431099774518838    0.0002974902413889913    
MWEBV         All|All|All                            All                   All      -0.03393570544513347      -2.2002476167209295      0.007855241696522568      -0.705288515688395       
Redshift      All|All|All                            All                   All      7.488891582492171         0.6997202974092787       2.090089059124351         -2.1181853693755235      
