#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.82618132781      All      -0.9044900533768806        0.6078254963551188        -0.10455040778601114       0.4879453237346306         
Zeropoint     AB|CNIa02|SDSS_i                      7420.2537017750265    All      0.45360937361515974        -0.0993323678901703       0.05772889985268784        -0.17753514079006902       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.848770031083     All      0.5989136359868632         0.2896534408909801        0.021664417287792562       -0.09976943645845456       
Zeropoint     AB|CNIa02|SDSS_r                      6118.914824233986     All      1.1716621013348107         -0.12264619203312677      0.028661085990891694       -0.42031977999582587       
Zeropoint     AB|CNIa02|SDSS_g                      4682.719733870428     All      -0.32079480490361484       0.32162731776717024       -0.002784257220098761      0.2091337718018344         
Check         All|All|All                           All                   All      0.9989002526563382         0.9971276950899721        0.0007197381252621901      -0.0005452617078844368     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.82618132781      All      -0.0005977040361257973     0.00030474635907591966    -0.00042210559381782855    0.00027512114946210895     
Lambda        AB|CNIa02|SDSS_i                      7420.2537017750265    All      9.61814589052167e-06       -6.345208066319296e-05    -0.0004440571377230626     -4.3617607303509516e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.848770031083     All      0.00018614835171080723     2.301794609520295e-05     -0.0008914386262330082     -9.291775159919428e-05     
Lambda        AB|CNIa02|SDSS_r                      6118.914824233986     All      0.00013266500726208223     -8.027378702696279e-05    -0.0005909075607082657     -9.573066127233793e-05     
Lambda        AB|CNIa02|SDSS_g                      4682.719733870428     All      -0.00011778994994491073    0.00011202920190047664    1.5716786623379325e-05     7.55610265839708e-05       
MWEBV         All|All|All                           All                   All      -0.8867294458327701        -4.066202375850914        -0.003900989978409957      -1.0358330181254676        
Redshift      All|All|All                           All                   All      4.77823897658093           -0.037342694256992104     3.3513688423981036         -1.4190371789672254        
