#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.82618132781      All      -0.8634957101850166        0.6270941511873573        -0.10021126681976078       0.481062188214354          
Zeropoint     AB|CNIa02|SDSS_i                      7420.2537017750265    All      0.49988039968351816        -0.13194430464853468      0.04296546633530962        -0.20388874118700828       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.848770031083     All      0.4286942991884911         0.3827864029195105        -0.0574255614791741        -0.017516351202484515      
Zeropoint     AB|CNIa02|SDSS_r                      6118.914824233986     All      1.165091574799614          -0.12204336988848041      0.08563806745405245        -0.4154405633377489        
Zeropoint     AB|CNIa02|SDSS_g                      4682.719733870428     All      -0.22927910999112772       0.23970190422186732       0.030381490385333887       0.15411833172501166        
Check         All|All|All                           All                   All      1.000891453495479          0.9955947837917201        0.0013481958757610712      -0.001665135787876082      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.82618132781      All      -0.0007488681748733801     0.0004806736254142406     -0.0003494780872381711     0.00038490661313875935     
Lambda        AB|CNIa02|SDSS_i                      7420.2537017750265    All      4.56966247272998e-05       -8.116244728044072e-05    -0.0004239554594078284     -6.0241358288799035e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.848770031083     All      0.00014277080000132426     0.00011420408473562799    -0.000937877629026648      -5.115829004636712e-05     
Lambda        AB|CNIa02|SDSS_r                      6118.914824233986     All      0.0003557717921039555      -9.58181868378317e-05     -0.00038226526555313174    -0.0001641564561311291     
Lambda        AB|CNIa02|SDSS_g                      4682.719733870428     All      -0.00017367961541319338    0.00011974138758744036    3.920165016823503e-06      9.575181290160866e-05      
MWEBV         All|All|All                           All                   All      -0.8765959784486035        -4.070930187292188        0.00605533721498297        -1.0402295204055805        
Redshift      All|All|All                           All                   All      4.781933381627203          -1.1563458214643774       3.0855198249674087         -1.7966003215215132        
