#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6095.6939659893405    All      0.6676786277118691         -0.1367123011613458        -0.8225384168863314        -0.2987227009728477        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4654.079853630138     All      -0.4140512486597163        0.31591205656376076        -0.2908797435066113        0.22479243660034898        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7444.79846765971      All      0.22229463882570397        -0.005932331202451735      0.3040620369292757         -0.060772140380731254      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4322.541277898107     All      -0.19288881534431038       0.0768625043869875         -0.3187339058660088        0.07364324906438263        
Zeropoint     AB|CNIa02|SDSS_g                      4664.949136589199     All      -0.1925363297723552        0.22202517458982385        0.17149285124511415        0.142689258952039          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5416.941844652823     All      0.12381281332323452        0.08634752297442816        -0.04606675973037877       -0.014259425547839821      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6135.099247389485     All      0.595402260438976          0.029901208599625306       0.571368151076701          -0.15870476063252204       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4321.364431207087     All      -0.3501093134799341        0.28740711624219983        0.15868758606700784        0.2147415729685062         
Zeropoint     AB|CNIa02|SDSS_i                      7392.094352560716     All      0.3097638082694587         -0.05052257342441635       0.11404453303849316        -0.11226784386566824       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5406.254254561619     All      0.22859156312656007        0.1605997404354298         0.1329453606361719         -0.016214432665789813      
Check         All|All|All                           All                   All      0.9979580044394865         0.9858881180040413         -0.02561830699656653       -0.005074786480122051      
Lambda        AB|CNIa02|SDSS_r                      6095.6939659893405    All      -0.0001292030156751814     -4.921459259211768e-05     -0.0004709060315710212     5.04048754326835e-06       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4654.079853630138     All      -1.599323076471442e-06     -6.6940461875449e-05       -0.00037031777173984623    -3.780933991118453e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7444.79846765971      All      -6.786260697758275e-05     9.950185812862605e-06      -2.875330394625409e-05     2.4063058680719395e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4322.541277898107     All      -8.820369040439694e-05     1.944765785454037e-05      -0.0001750412318195086     2.7254299511291413e-05     
Lambda        AB|CNIa02|SDSS_g                      4664.949136589199     All      1.6711452717454382e-05     -2.9060293864322067e-05    -0.00015756851608859319    -2.1940922894434434e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5416.941844652823     All      -1.7190606713394412e-05    1.8180566591501386e-05     3.821146190364065e-05      1.322675686830442e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6135.099247389485     All      -0.0001327431282080345     -1.2453343659192542e-05    -0.00020352570357502227    3.0099922853115277e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4321.364431207087     All      -0.00012335165512042693    2.6699370010834766e-05     -0.00031184711144442495    3.4960251095562044e-05     
Lambda        AB|CNIa02|SDSS_i                      7392.094352560716     All      -4.617558374394386e-05     -1.6074159543427964e-05    -0.00019043678444751169    1.3067051241715937e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5406.254254561619     All      -5.2146975226717596e-05    -1.775773837426043e-05     -0.0005360910366158493     -1.2721574971959019e-05    
MWEBV         All|All|All                           All                   All      -0.8567889678552487        -4.039776426027419         0.07938971242390513        -1.0332609340619205        
Redshift      All|All|All                           All                   All      5.3637525065383835         0.5326259768291486         1.801071574682811          -1.4932832977126025        
