#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_g
@MAGSYS  Linear_AB11_off
58437.85722  16.678  0.024
58437.86005  16.673  0.024
58438.792  16.396  0.024
58438.79482  16.401  0.024
58440.03015  16.221  0.025
58440.03297  16.237  0.024
58441.48995  15.922  0.023
58441.49284  15.923  0.023
58443.10118  15.776  0.023
58443.10401  15.778  0.023
58445.78446  15.453  0.024
58445.78728  15.43  0.024
58449.82362  15.33  0.023
58449.82626  15.338  0.023
58456.09486  15.594  0.023
58456.09766  15.586  0.023
58457.81843  15.586  0.026
58457.82124  15.604  0.025
58464.06718  16.068  0.025
58464.06998  16.059  0.024
58471.05266  16.608  0.025
58471.05545  16.609  0.025
