#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6095.6939659893405    All      0.6237150746970226         -0.07498199127917715      -0.2467355070521048        -0.23859929330369323       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4654.079853630138     All      -0.3758725297496956        0.3200986855767418        -0.0621702699024479        0.2239263479966782         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7444.79846765971      All      0.21640530660983928        -0.02642386468449942      0.102454536309219          -0.07452537453419404       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4322.541277898107     All      -0.2866213560230067        0.16422999651384274       -0.12565698106848153       0.1412496241467321         
Zeropoint     AB|CNIa02|SDSS_g                      4664.949136589199     All      -0.26613561433176647       0.31357579016244586       0.27662972645452155        0.20117579055976606        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5416.941844652823     All      0.2914151000139021         0.07944762976324071       0.027459356961874945       -0.06781939359833372       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6135.099247389485     All      0.5850051593446451         -0.02791840588622918      0.1899447733996067         -0.19117300693000921       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4321.364431207087     All      -0.3500063072403319        0.20338835399300592       -0.12616509537357584       0.1746286785560775         
Zeropoint     AB|CNIa02|SDSS_i                      7392.094352560716     All      0.24688889255602847        -0.04089781637146572      0.02394439176246188        -0.09267307076743873       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5406.254254561619     All      0.31243466764364675        0.0856492265523201        -0.0589952900758595        -0.07650416802336137       
Check         All|All|All                           All                   All      0.9972283935202837         0.9961676043402257        0.0007096414152144778      -0.00031386589777643303    
Lambda        AB|CNIa02|SDSS_r                      6095.6939659893405    All      -7.281976176306594e-05     -3.174245885891155e-05    -0.00037384378446753347    -3.302702139380359e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4654.079853630138     All      -3.072425693321268e-05     -3.382229885408727e-05    -0.00030714533891001945    -1.471561998421735e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7444.79846765971      All      -4.758178147186975e-05     8.541978495541601e-06     1.5364335984974713e-06     1.8349919013161405e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4322.541277898107     All      -0.00010712738511667602    3.2666945970183806e-05    -0.00020136410524509136    3.6549657546671767e-05     
Lambda        AB|CNIa02|SDSS_g                      4664.949136589199     All      -3.352051390576911e-05     -1.65363318315372e-05     -0.00021464859746675086    -4.046474195020507e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5416.941844652823     All      3.667384483439278e-05      8.848454458128414e-06     1.760935847177963e-05      -8.277820281964351e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6135.099247389485     All      -8.336207753872813e-05     -7.871090115150426e-07    -7.646823310177527e-05     2.348495784764491e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4321.364431207087     All      -0.0001494596218328887     3.871707271177868e-05     -0.0003208942416376155     4.697530405221956e-05      
Lambda        AB|CNIa02|SDSS_i                      7392.094352560716     All      -2.866342156915816e-05     -1.830280279162508e-05    -0.0002020791616272265     -5.643070477327997e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5406.254254561619     All      2.3923038546904893e-05     -2.235249258116826e-05    -0.0004737287071488413     -3.621379935096561e-05     
MWEBV         All|All|All                           All                   All      -0.8728389355607473        -4.042923415998878        0.016550368706596905       -1.0318622410180218        
Redshift      All|All|All                           All                   All      4.617021482172476          0.37618938275967295       2.00515847342266           -1.291897520701596         
