#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          7542.24000087371     All      0.5243614418753533         -0.005786368744509218     0.42783630994596006        -0.15359421373200846      
Zeropoint     AB|DECam|DECam_g          3986.083138494646    All      -0.6612510227685899        0.6628253553966346        0.12464619630721445        0.4368576244492876        
Zeropoint     AB|DECam|DECam_i          6436.166037745039    All      1.0281212781813003         0.06428775618783078       -0.1217285121938447        -0.31938447171466655      
Zeropoint     AB|DECam|DECam_r          5297.800613786676    All      0.10539354527260057        0.2775441068317619        -0.4287221816184892        0.03694319956919488       
Check         All|All|All               All                  All      0.9966252425606643         0.998870849671718         0.002031812440840608       0.0008221385718074486     
Lambda        AB|DECam|DECam_z          7542.24000087371     All      -0.00012914784586326325    -1.571484839314628e-05    -0.0003079624283528662     2.3205910353672415e-05    
Lambda        AB|DECam|DECam_g          3986.083138494646    All      -0.0005531679360380551     0.0004390832872160403     -0.0005212999454330256     0.00029994564518885045    
Lambda        AB|DECam|DECam_i          6436.166037745039    All      -0.00039550143038354584    -7.358322203731558e-05    -0.00046914390162440485    8.392361362335074e-05     
Lambda        AB|DECam|DECam_r          5297.800613786676    All      -1.5257688276224263e-05    5.484323678636343e-05     -0.0005044385853300352     3.234002841605427e-07     
MWEBV         All|All|All               All                  All      -0.48484917913185477       -3.1828355115015583       0.09802970000092844        -0.8744482942897643       
Redshift      All|All|All               All                  All      6.296044609525137          0.03920224473681344       -1.1138415024425392        -2.087765032776206        
