#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7686.764349546007     All      0.1348918613029314         0.008072380160584203       0.3598486709613269         -0.025250883785226524     
Zeropoint     AB|SDSS|SDSS_g            4080.107188563029     All      -0.8714447111533123        0.6240920839987396         -0.7363713819395157        0.4542846631356151        
Zeropoint     AB|SDSS|SDSS_u            3102.8666370951423    All      -0.07262468953175606       0.02209640715413741        -0.05272568314107495       0.02850087234383264       
Zeropoint     AB|SDSS|SDSS_r            5331.480374531588     All      0.7413102672289718         0.27599520604315586        -0.9802483280914265        -0.19531240460402         
Zeropoint     AB|SDSS|SDSS_i            6465.351801985816     All      1.0560246334398706         0.06851635355751284        1.3836806938701818         -0.2599166204632387       
Check         All|All|All               All                   All      0.9881573612867054         0.9987724309141299         -0.025816028340508446      0.002305626626962487      
Lambda        AB|SDSS|SDSS_z            7686.764349546007     All      1.8076075305063345e-06     1.9277238813928186e-06     4.224450009684473e-05      1.9243038645453465e-06    
Lambda        AB|SDSS|SDSS_g            4080.107188563029     All      -0.0008296262792117301     0.00045683431555792656     -0.0017036425081349534     0.0003430167984218788     
Lambda        AB|SDSS|SDSS_u            3102.8666370951423    All      -7.97351446426369e-05      4.070406062612617e-05      0.000158997887552917       4.632635695879893e-05     
Lambda        AB|SDSS|SDSS_r            5331.480374531588     All      0.0002728639737909511      9.527071669838173e-05      -0.00035484347423918837    -7.368300099783004e-05    
Lambda        AB|SDSS|SDSS_i            6465.351801985816     All      -4.5377234516153787e-05    -3.8004438232873618e-06    0.00026869424035693996     2.5533518443572382e-05    
MWEBV         All|All|All               All                   All      -0.801209541543499         -3.3320730354599704        0.14653713700540916        -0.8178462235005637       
Redshift      All|All|All               All                   All      4.704127068236151          -1.007699569190379         -2.067451055896097         -1.9527906944899986       
