#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7686.764349546007     All      0.0984718036974568        0.004859348432262323       0.22152367330627898        -0.020607072319946015      
Zeropoint     AB|SDSS|SDSS_g            4080.107188563029     All      -0.7131033896323956       0.5847273917133577         0.1165124415837819         0.4279455979943751         
Zeropoint     AB|SDSS|SDSS_u            3102.8666370951423    All      -0.11039643452330292      0.050169280769729596       0.12164812758010533        0.057730133150328          
Zeropoint     AB|SDSS|SDSS_r            5331.480374531588     All      0.7386373238672926        0.3121117091678727         -1.2451505917259624        -0.19449877712243546       
Zeropoint     AB|SDSS|SDSS_i            6465.351801985816     All      0.9785812681789108        0.048692830716312585       0.7990835066011696         -0.26723582966066384       
Check         All|All|All               All                   All      0.9921905715879616        1.000560560799535          0.013617157345373387       0.0033340520416577646      
Lambda        AB|SDSS|SDSS_z            7686.764349546007     All      -7.204065835078858e-06    -4.231686219179265e-08     -1.4557630971908899e-05    1.6831770455164645e-06     
Lambda        AB|SDSS|SDSS_g            4080.107188563029     All      -0.0005533056842050327    0.00034792907740515956     -0.0009399398930659454     0.0002516166111596605      
Lambda        AB|SDSS|SDSS_u            3102.8666370951423    All      -8.668655098004828e-05    3.827140635899591e-05      7.734241018309553e-05      4.415435424564439e-05      
Lambda        AB|SDSS|SDSS_r            5331.480374531588     All      0.00022504492904570924    9.705796849034149e-05      -0.00025989438120054865    -5.3287456280079136e-05    
Lambda        AB|SDSS|SDSS_i            6465.351801985816     All      -0.0002057874588359123    -1.3238090433292273e-05    -4.866584282470586e-05     6.0547930923659714e-05     
MWEBV         All|All|All               All                   All      -0.797129713468042        -3.314241777028215         0.27990573286503506        -0.8074153023314864        
Redshift      All|All|All               All                   All      4.488486479045528         -0.6550591312100451        -3.0626743275360857        -1.8120951117680837        
