#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3967.2225721679456    All      -0.8033546810413985       0.5562041764600067         -0.26830666423787175      0.43087975390906086       
Zeropoint     AB|DECam|DECam_r          5272.733520003055     All      0.3533336918696146        0.5379062934425249         0.3941151026464973        0.07770891551644316       
Zeropoint     AB|DECam|DECam_i          6405.712649738087     All      1.034027407266648         -0.04956660065111862       -0.35063258267311603      -0.3686093393302878       
Zeropoint     AB|DECam|DECam_z          7506.55310904383      All      0.41213256662443915       -0.04522575939862605       0.22794582426745036       -0.13880447820795588      
Check         All|All|All               All                   All      0.9961389847193034        0.999318109852787          0.00312168000295987       0.0011748518872602975     
Lambda        AB|DECam|DECam_g          3967.2225721679456    All      -0.0006953354316890585    0.0003650963215726444      -0.0007078048446619489    0.000313831429818572      
Lambda        AB|DECam|DECam_r          5272.733520003055     All      -5.179913495628735e-06    1.9547108149716095e-05     -0.0009837849181701605    -3.584739809249745e-05    
Lambda        AB|DECam|DECam_i          6405.712649738087     All      -0.0005512487600694087    -1.287073942968946e-05     -0.0007772039432292638    0.00014068439101541045    
Lambda        AB|DECam|DECam_z          7506.55310904383      All      -5.875505511102385e-05    -1.2233733313333538e-05    -0.0001701928867205572    7.558598148851458e-06     
MWEBV         All|All|All               All                   All      -0.4882768865359557       -3.1646812399850788        0.08443300737743797       -0.8680250916737505       
Redshift      All|All|All               All                   All      6.078399212688092         0.6119123295812656         0.9833808177457326        -1.7367308505132448       
