#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6406.460796383322    All      1.3165077392187448        0.05844246795660979      2.732405371416093         -0.28785854572577535      
Zeropoint     AB|SDSS|SDSS_g            4042.942681099315    All      -0.9075710095212117       0.7191800395503378       1.544106867197512         0.598792732859156         
Zeropoint     AB|SDSS|SDSS_r            5282.917473358958    All      0.5138989755655937        0.22106168163631423      -4.33334070248096         -0.2887638339313261       
Zeropoint     AB|SDSS|SDSS_z            7616.747852959523    All      0.08689981327721644       0.0019077552668278486    0.17797754995397624       -0.019742388816512652     
Check         All|All|All               All                  All      1.009735518540343         1.0005919444100897       0.12114908608662073       0.002427964385541919      
Lambda        AB|SDSS|SDSS_i            6406.460796383322    All      -0.0002472808686012084    -2.46343484984913e-05    -0.0005814965334730076    4.657377687847395e-05     
Lambda        AB|SDSS|SDSS_g            4042.942681099315    All      -0.0007156472224135057    0.0004494969590167406    -0.000700150866748465     0.00034828127449045823    
Lambda        AB|SDSS|SDSS_r            5282.917473358958    All      0.0001471061317139273     7.39242823269071e-05     -0.0011955856026888813    -7.719123027863092e-05    
Lambda        AB|SDSS|SDSS_z            7616.747852959523    All      -9.089590566702116e-06    9.251646416381351e-08    -2.048339197480425e-05    2.076834635282654e-06     
MWEBV         All|All|All               All                  All      -0.6069756282405732       -3.355573301181458       0.05222140325988388       -0.8929782868711014       
Redshift      All|All|All               All                  All      4.923521562776865         -0.5197748409200287      3.6868970547174578        -1.608531435570229        
