#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6406.460796383322    All      1.6772841657418567         0.0065315123158882216     3.310396312342015          -0.39649132203098125       
Zeropoint     AB|SDSS|SDSS_g            4042.942681099315    All      -1.0391989906293788        0.8148006954101561        1.7214332240658963         0.680728351054255          
Zeropoint     AB|SDSS|SDSS_r            5282.917473358958    All      0.22308358886831092        0.18541465767079046       -5.138660049463792         -0.24158480715767428       
Zeropoint     AB|SDSS|SDSS_z            7616.747852959523    All      0.1457007581447207         -0.005926603549610832     0.221790857264606          -0.03949251278471677       
Check         All|All|All               All                  All      1.0068695221255093         1.000820261847224         0.11496034420872514        0.0031597090808827         
Lambda        AB|SDSS|SDSS_i            6406.460796383322    All      -0.0005021684151458701     -5.799899285364984e-05    -0.0035677905645106933     -1.4533513044216524e-05    
Lambda        AB|SDSS|SDSS_g            4042.942681099315    All      -0.0011975054136762636     0.0006442698035259762     -0.0015527995682521755     0.0005306324678670006      
Lambda        AB|SDSS|SDSS_r            5282.917473358958    All      0.00048376062341098003     7.748501394290944e-05     -0.0010743666969484198     -0.00018028138337133684    
Lambda        AB|SDSS|SDSS_z            7616.747852959523    All      -2.1574862929450525e-05    -6.43675271147227e-07     -0.00013452748614663603    8.146325916007031e-07      
MWEBV         All|All|All               All                  All      -0.5955711940514932        -3.363137371751179        0.045531633542397754       -0.8994554866138038        
Redshift      All|All|All               All                  All      5.939544456208111          -1.0917198638711767       16.547317780053977         -1.5518833173328639        
