#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6032.967539913543    All      1.190091160266801          0.07742409136186623        0.326177715785308         -0.3478764566261719        
Zeropoint     AB|PS|PS_z                8397.790618473187    All      0.32459372238242634        -0.0637061587886123        0.08441304832691891       -0.12271507933232924       
Zeropoint     AB|PS|PS_i                7307.23029104308     All      0.6176051462996042         -0.19698268085210913       -0.17924217563146166      -0.273336809515708         
Zeropoint     AB|PS|PS_g                4750.622078935986    All      -1.1330043243639198        1.182234637669577          -0.22908384812934068      0.7439265390357581         
Check         All|All|All               All                  All      0.9992857045849116         0.9989698893907217         0.002264740351424599      -1.8064384510463327e-06    
Lambda        AB|PS|PS_r                6032.967539913543    All      -0.00023974039073925845    5.414258191149922e-05      -0.0008450258388878124    5.801773052870598e-05      
Lambda        AB|PS|PS_z                8397.790618473187    All      0.0004057995521533429      -0.00012698999805565352    0.0003652195598450594     -0.00015724901319551248    
Lambda        AB|PS|PS_i                7307.23029104308     All      -0.00017256796861791563    -4.789857288252165e-06     -0.0017100301885614483    -2.1659942834936464e-05    
Lambda        AB|PS|PS_g                4750.622078935986    All      -0.0003483084972053572     4.255122949419274e-06      -0.0007615679373602705    8.085629079362197e-05      
MWEBV         All|All|All               All                  All      -0.6926901451094039        -4.021812462983476         -0.046353737132705186     -1.0864732181958479        
Redshift      All|All|All               All                  All      6.35113057916342           0.3192789730815271         7.6475961314003165        -1.6234954189185828        
