#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6032.967539913543    All      1.2100567352351352         0.06607095477253466        0.07483994625091528        -0.3692940416372069        
Zeropoint     AB|PS|PS_z                8397.790618473187    All      0.27855022197016105        -0.09661855150397969       0.32063721592925365        -0.10789624589310522       
Zeropoint     AB|PS|PS_i                7307.23029104308     All      0.5810940585202508         -0.1663996221478392        -0.12323542083617633       -0.24898271443734402       
Zeropoint     AB|PS|PS_g                4750.622078935986    All      -0.9903137441972916        1.115336325493299          -0.07724760386494944       0.6824322957527988         
Check         All|All|All               All                  All      1.0793872715282555         0.9183891066140148         0.19499413747904315        -0.04374070621485726       
Lambda        AB|PS|PS_r                6032.967539913543    All      -0.00014685479668476858    4.552073844960822e-05      -0.00039299266351406774    4.5125583137768575e-05     
Lambda        AB|PS|PS_z                8397.790618473187    All      0.0005330603705375699      -0.0001991528363291696     0.0003460591324205949      -0.0002230629008876606     
Lambda        AB|PS|PS_i                7307.23029104308     All      -6.309888890575907e-05     -6.389189403325936e-05     -0.0011630740501073916     -5.2160960909515615e-05    
Lambda        AB|PS|PS_g                4750.622078935986    All      -0.00023287145903332218    -3.4552397154786384e-05    -0.000547391535954113      4.017147278593561e-05      
MWEBV         All|All|All               All                  All      -0.5885726825898665        -4.096090804619834         0.14071998013238662        -1.1362343598540166        
Redshift      All|All|All               All                  All      5.648244022336627          0.31172744081366943        7.803868880238873          -1.3900281905310201        
