#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4992.9224830036555    All      0.5537614359362298        0.3010934867770487         -3.0188020864166374        -0.2170175358300523       
Zeropoint     AB|SDSS|SDSS_z            7198.641999272324     All      0.1000170830365972        0.009420596850873153       0.28491850922110523        -0.01679565160339825      
Zeropoint     AB|SDSS|SDSS_i            6054.79118461527      All      1.3288906834846526        0.14737717229653668        1.816206507608497          -0.30380886633412113      
Zeropoint     AB|SDSS|SDSS_g            3821.0135804224906    All      -0.97432434948646         0.5422870240808564         1.0129848678008244         0.5392150815817686        
Check         All|All|All               All                   All      1.0083448529710195        1.000178280005315          0.0953077982137891         0.0015930278141969012     
Lambda        AB|SDSS|SDSS_r            4992.9224830036555    All      -0.0001557941048204642    -6.243833177581548e-05     8.067436479112443e-05      3.400917297102044e-05     
Lambda        AB|SDSS|SDSS_z            7198.641999272324     All      -2.970376101439815e-05    -2.9843413014215583e-06    -7.935077667312302e-05     5.1623333253285795e-06    
Lambda        AB|SDSS|SDSS_i            6054.79118461527      All      -0.0002265943280636196    -3.335548291148017e-05     -0.00023307267459045532    5.2543286232328036e-05    
Lambda        AB|SDSS|SDSS_g            3821.0135804224906    All      -0.0011866234575494592    0.0005375757749115793      -0.0014724038599619605     0.0004959217927186482     
MWEBV         All|All|All               All                   All      -0.5662138245983579       -3.0782401455617503        0.19612464319060285        -0.8094974738912963       
Redshift      All|All|All               All                   All      3.99191467667133          0.5374510067250426         -1.7688976965187928        -1.2041702457229193       
