#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6689.48399778799      All      1.142976335961281         0.09963342995362723        3.806307412064093          -0.16999309138595212       
Zeropoint     AB|SDSS|SDSS_g            4221.550904433214     All      -0.6241131440659755       0.6227241472355871         -0.05490975168536844       0.40368555547904467        
Zeropoint     AB|SDSS|SDSS_z            7953.238846996935     All      0.11719480395795273       -0.003171884736730135      0.11684919772368932        -0.03399294742883956       
Zeropoint     AB|SDSS|SDSS_r            5516.305027515349     All      0.4635425256743817        0.19051223842954101        -4.470508870694398         -0.28843322557979584       
Zeropoint     AB|SDSS|SDSS_u            3210.4326805144406    All      -0.09969120893589917      0.09324578009142215        0.7075478127151535         0.0944205339965138         
Check         All|All|All               All                   All      0.9999093125917407        1.0029437109734474         0.10528580012316913        0.0056868250809709725      
Lambda        AB|SDSS|SDSS_i            6689.48399778799      All      -0.0004293016316584905    -4.0305601998998124e-05    -0.0013426119478405928     6.679419961085704e-05      
Lambda        AB|SDSS|SDSS_g            4221.550904433214     All      -0.0003327691065116335    0.0002752899076717092      -0.0007746859877789706     0.00016349414783635953     
Lambda        AB|SDSS|SDSS_z            7953.238846996935     All      -6.042716015905138e-06    -4.2004686571299413e-07    -4.5293593904952956e-05    -1.8975674748743073e-07    
Lambda        AB|SDSS|SDSS_r            5516.305027515349     All      0.00011484107981090514    4.425115941005735e-05      -0.000448599302826102      -4.3012385957011e-05       
Lambda        AB|SDSS|SDSS_u            3210.4326805144406    All      -6.582507163670562e-05    6.081815830661633e-05      0.00045633512897292906     6.161600736567207e-05      
MWEBV         All|All|All               All                   All      -0.7862258292685125       -3.438872515170033         1.0624985344459124         -0.8166398653688699        
Redshift      All|All|All               All                   All      1.6121433742743045        -0.09369544565345223       -6.951862603550687         -0.8658775233271014        
