#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6872.038174248503     All      0.20537983715746205        0.02759403786445347        0.879051299521174         -0.01868266164775497      
Zeropoint     AB|SDSS|SDSS_r            4766.392592899208     All      1.273840110502125          0.45039802701847265        2.2487290662708808        -0.16787172684187027      
Zeropoint     AB|SDSS|SDSS_i            5780.084099471189     All      0.7403468137209417         0.1497269458146988         -2.2162794883639805       -0.2912866963557356       
Zeropoint     AB|SDSS|SDSS_g            3647.6534312498966    All      -1.221100201243746         0.3714556406707814         -0.9106725471038832       0.47810869803299527       
Check         All|All|All               All                   All      0.9984665601367829         0.9991746513684063         0.0008283303241911621     0.0002676131876344079     
Lambda        AB|SDSS|SDSS_z            6872.038174248503     All      -8.631137672662168e-05     -1.2308511495861238e-05    -0.0003600390469565769    8.03827876146886e-06      
Lambda        AB|SDSS|SDSS_r            4766.392592899208     All      -0.00017607054757131597    -5.45176937682402e-05      -0.0006217736174060964    1.1846862611869885e-05    
Lambda        AB|SDSS|SDSS_i            5780.084099471189     All      -9.00947274972898e-05      -1.9198752456584042e-05    0.0002870543789053106     3.590307001652551e-05     
Lambda        AB|SDSS|SDSS_g            3647.6534312498966    All      -0.001859129325865172      0.0004813933880743154      -0.003921049261290361     0.0005874068290367127     
MWEBV         All|All|All               All                   All      -0.6045917754183794        -2.8600525570322333        0.16356564495835965       -0.7273785955226576       
Redshift      All|All|All               All                   All      4.917576140011385          -0.8081256162693506        7.927081956345133         -1.5113001720721344       
