#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5364.228658692548     All      1.3669478284794585         0.3421766942599547         0.6254254753113454        -0.30589180589636794       
Zeropoint     AB|SDSS|SDSS_z            6377.62072031194      All      0.16710883312789823        0.026762637356014807       0.07839695862266026       -0.04221687701647524       
Zeropoint     AB|SDSS|SDSS_r            4423.468466098787     All      0.2935337974755664         0.43843526460651816        -0.8278041124676611       0.010258079388560985       
Zeropoint     AB|SDSS|SDSS_g            3385.2184044656105    All      -0.8337200983635836        0.19114583569450616        0.12304300450915949       0.33932339598561717        
Check         All|All|All               All                   All      0.9938703607193395         0.9985204319169938         -0.0009386740244958919    0.0014727924613349708      
Lambda        AB|SDSS|SDSS_i            5364.228658692548     All      0.00023711515557471317     1.3540979398151309e-05     -0.0008819596730296612    -0.00011218327406567604    
Lambda        AB|SDSS|SDSS_z            6377.62072031194      All      -3.8404269469590054e-05    -9.022652070849008e-06     -6.293650031744529e-05    6.761992460993824e-06      
Lambda        AB|SDSS|SDSS_r            4423.468466098787     All      -0.00046852984828707836    -0.00018330805135019948    -0.0023796510053010426    -1.3286772244092493e-05    
Lambda        AB|SDSS|SDSS_g            3385.2184044656105    All      -0.0014503925078472727     0.00022523736273683535     -0.0006060551555041326    0.0005187623173550626      
MWEBV         All|All|All               All                   All      -0.6303667524149763        -2.547221057244009         0.1680705919591047        -0.6168822911174708        
Redshift      All|All|All               All                   All      2.1051759106635886         0.6237721107311245         -2.736696993760029        -0.6046681720122437        
