#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4378.796360028546     All      -0.531944748965273         0.4480059165856254        0.24493173154114287        0.3301323494371449        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8250.508657615708     All      0.19373877051083402        -0.026180464284752958     0.11643002037657327        -0.066439192835178        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5341.4993137424       All      0.1399233962864688         0.10068248372032684       -0.6187562961092878        -0.040394307860949316     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8167.665804043647     All      0.11068656060402643        -0.01569111298165282      0.04002635101638854        -0.03937917377734007      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6299.908374762059     All      0.44480771585130485        -0.023336873947954473     -0.1415170448951772        -0.1588053501465468       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4362.7187634205575    All      -0.26577464255933786       0.17078561045478224       -0.2591602076140805        0.13063690702638148       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3633.233663194872     All      -0.2273971064696487        0.11848314023588102       -0.011207326356086027      0.11216444397222995       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6809.731251354808     All      0.5683159577955019         -0.0375180903280814       0.2765382567495731         -0.18499944851755432      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5364.064109613886     All      0.5636244395997582         0.2617117128627555        0.353759621931018          -0.082556240564317        
Check         All|All|All                                  All                   All      0.9959803426536347         0.9969423223169294        0.0010451066400642417      0.0003599867338708457     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4378.796360028546     All      -0.0002958185486770157     2.0105361583976775e-05    -0.0012690482009264524     4.62750184801526e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8250.508657615708     All      -2.05601718420519e-05      2.3980127828853237e-06    -1.5233324652692841e-05    6.798442719061337e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5341.4993137424       All      4.062287250938076e-05      1.0227758653471818e-05    -0.00036275464058386803    -2.608876208986934e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8167.665804043647     All      -1.5309997300439092e-05    2.1811873896154227e-06    -2.83103017283087e-06      5.571118422272535e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6299.908374762059     All      -8.464946085642034e-05     1.4925803417698156e-06    -7.4150621346648874e-06    2.7728396640306536e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4362.7187634205575    All      -0.00010703583331076274    2.9600844161213406e-05    -0.00033069354682678515    2.974972689143537e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3633.233663194872     All      -0.00016717656131292778    8.844949968999222e-05     4.610115648219089e-06      8.347154620414528e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6809.731251354808     All      -0.0001579923912276756     -8.550506649440053e-06    -0.00035342590683334093    3.290636330360516e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5364.064109613886     All      5.655909916317791e-05      -1.779438955557789e-05    -0.00099490262083997       -6.86173119784468e-05     
MWEBV         All|All|All                                  All                   All      -0.9411262843261388        -3.9928220078787824       0.035446159917561997       -0.9924558956494911       
Redshift      All|All|All                                  All                   All      4.2077492550983875         0.08157583123313827       4.809132238979961          -1.1294209469462524       
