#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4378.796360028546     All      -0.47675343258005176       0.5054860519364102         0.5346914761411636         0.3438085396572643        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8250.508657615708     All      0.19629758309506506        -0.022501971052690806      0.1372147730220763         -0.0651469479621275       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5341.4993137424       All      0.012083468463602337       0.023558375568810686       -0.5697992746922398        -0.021689769878706355     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8167.665804043647     All      0.04487054148257556        -0.004817257168998612      0.02159920359937062        -0.015221077445752573     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6299.908374762059     All      0.13596719582271455        -0.003033640860239384      -0.08252405168774346       -0.048959814906897325     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4362.7187634205575    All      -0.20905067141813644       0.12448051756267509        -0.5303289844222403        0.08497593423940214       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3633.233663194872     All      -0.1545557314740138        0.07721207321116363        -0.08646140194090157       0.07163602365448662       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6809.731251354808     All      0.7046061237998155         -0.02728510992296984       0.4086292587682283         -0.22016580627737398      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5364.064109613886     All      0.5909753846129454         0.3215578260782448         0.16316740365986404        -0.08047675056459258      
Check         All|All|All                                  All                   All      0.8444404618045164         0.9946568653524057         -0.003811597552422219      0.04876033051570278       
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4378.796360028546     All      -0.0005410457399668543     0.0003622203449651586      -0.00033314185771134597    0.00027935688938943273    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8250.508657615708     All      -4.9400058171895836e-05    4.772227178858464e-06      -3.516691583729334e-05     1.6076357615975607e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5341.4993137424       All      -0.00011263251456359643    2.6686850865460817e-05     -0.00064972047952951       1.6386859848050286e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8167.665804043647     All      -3.490135366466723e-05     3.39383361601399e-06       -1.7270385257036297e-05    1.1703304397546336e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6299.908374762059     All      2.8289794202497116e-05     -1.4308522820976649e-06    4.374314068149822e-05      -7.728936876621995e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4362.7187634205575    All      -0.0002468518753636726     7.623111986729576e-05      -0.0005071121622112933     8.260867394398083e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3633.233663194872     All      -0.0007918469659990565     0.0002879567940425768      -0.00045563387758442293    0.00033139476182819785    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6809.731251354808     All      -9.921285791547188e-06     -1.7810446010821381e-06    -1.7230198744086553e-05    1.8826397272069035e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5364.064109613886     All      7.48172786168414e-05       0.00020861693085733122     -0.0006068149317646994     1.6503585208054075e-05    
MWEBV         All|All|All                                  All                   All      -0.9958760437689245        -3.9873016375934434        -0.0011775764918287024     -0.9744582807178825       
Redshift      All|All|All                                  All                   All      3.8463308287993736         -2.732587810167697         6.253679982871985          -1.8638972251835861       
