#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6167.291529108366     All      1.3378550447006883         -0.27721196682097826      -0.6416022963290691        -0.5547122234914492        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4327.74101263964      All      -1.1074004576104088        0.806762465022981         0.16423537460344972        0.6308349084540921         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7513.75218125467      All      0.3812527951923926         -0.0810118440546681       0.4518235990696784         -0.13041198898192663       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5352.0916461445095    All      0.3853808984139192         0.5513984190621102        0.030691312221864386       0.055446980593676365       
Check         All|All|All                                All                   All      0.9970882806965912         0.9999370732094448        0.005147989565923439       0.0011576765743925854      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6167.291529108366     All      -0.00014982143558626182    -2.2762192002117e-05      -0.0008553820250372271     3.215604610438005e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4327.74101263964      All      -0.000934302303163154      0.0005194850840828891     -0.0004846825441224404     0.0004519172243326609      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7513.75218125467      All      -0.000107090586918837      1.4760655912577803e-05    -0.00026801920604380245    2.773049237896217e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5352.0916461445095    All      7.317416757005954e-05      0.00019949815743089267    -0.0016905422078764675     -3.4293254924509106e-05    
MWEBV         All|All|All                                All                   All      -0.8739552800422481        -4.024617238778827        0.09264756741508284        -1.0221398182412744        
Redshift      All|All|All                                All                   All      7.09110609317144           -2.4313106651553618       9.59819464012569           -2.6734410725177793        
