#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3203.445515022187    All      -1.4369717688888821       -0.15938750268631452      -0.558136789797925       0.391244145276955          
Zeropoint     AB|MEGACAMPSF|i           3917.146818246867    All      0.6739106063866174        0.5890407414873344        -2.141786686193689       -0.12322301006769329       
Zeropoint     AB|MEGACAMPSF|z           4511.752402628115    All      1.8144484601901858        0.5814417460261012        2.8349738843074888       -0.2751189876266966        
Check         All|All|All               All                  All      1.051387297687921         1.0110949848271211        0.13505040831587456      -0.00709785241743488       
Lambda        AB|MEGACAMPSF|r           3203.445515022187    All      -0.0021843971512903308    -7.371067832342783e-05    0.00230060905545507      0.0007901856395974748      
Lambda        AB|MEGACAMPSF|i           3917.146818246867    All      0.00025056406050487584    0.0004946671893792692     -0.00422873525565795     -0.00010919661275268594    
Lambda        AB|MEGACAMPSF|z           4511.752402628115    All      0.00016504253861436438    5.039726216931358e-05     0.0002678268524597541    -2.539185591467898e-05     
MWEBV         All|All|All               All                  All      -0.4855831849705945       -1.5900079718587534       0.3267718836361566       -0.34516515922801483       
Redshift      All|All|All               All                  All      5.214575108216393         0.7068229704463747        -3.4658308619890774      -1.6229872852972387        
