#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5451.357799393379    All      0.6826186453751912         0.4248806893790036         0.08510262537119728        -0.08015599228675362       
Zeropoint     AB|CNIa02|SDSS_r                      6146.549399923788    All      0.8785112373495669         -0.11414022372560062       -0.18172942296784678       -0.33144898762923863       
Zeropoint     AB|CNIa02|SDSS_i                      7453.765454830832    All      0.5187212099490225         -0.09607075683990551       0.16655360304574374        -0.19282544728718604       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4357.416907687058    All      -1.084103159196982         0.7843769908939979         -0.07056742254316628       0.6054763560920412         
Check         All|All|All                           All                  All      0.9957479334767985         0.9990466997074954         -0.0006406170940720379     0.0010459288888629015      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5451.357799393379    All      -3.1488354964348964e-05    -0.0001067903107633716     -0.0013525547701553318     -8.488663169716714e-05     
Lambda        AB|CNIa02|SDSS_r                      6146.549399923788    All      1.572753752319124e-05      -2.5131509445788215e-05    -0.00016097305512871327    -2.0492623948408202e-05    
Lambda        AB|CNIa02|SDSS_i                      7453.765454830832    All      -7.729527586600239e-05     -2.8898225505283216e-05    -0.00027510436319520484    3.487867297386355e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4357.416907687058    All      -0.00042501190724902286    0.00015514232328171535     -0.0007381670085858047     0.00015603431607637882     
MWEBV         All|All|All                           All                  All      -0.8776566712432308        -4.079069444166139         0.041272400162933875       -1.04096366583081          
Redshift      All|All|All                           All                  All      4.721946872170015          -0.10889183784370537       1.3737681792083511         -1.5122581333753018        
