#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5451.357799393379    All      0.6402585120077782        0.41841189320899197        0.09153722722047691        -0.06817785624416316      
Zeropoint     AB|CNIa02|SDSS_r                      6146.549399923788    All      0.9845060213250593        -0.12170684711323432       -0.0979650151869536        -0.3647016532634874       
Zeropoint     AB|CNIa02|SDSS_i                      7453.765454830832    All      0.5141135357751118        -0.10227151473345408       0.1470726974328023         -0.19421371041051205      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4357.416907687058    All      -1.1409435944747988       0.8038465133474393         -0.13922559680549285       0.6272691208664122        
Check         All|All|All                           All                  All      0.997934474633151         0.9982800447097429         0.0014193126608327833      0.00017590094824948554    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5451.357799393379    All      1.517048663798946e-05     -9.366753045898125e-05     -0.0012576316117973592     -9.157444557433516e-05    
Lambda        AB|CNIa02|SDSS_r                      6146.549399923788    All      4.003442147571686e-05     -2.877443344346947e-05     -0.00015680778192697428    -2.941091890657388e-05    
Lambda        AB|CNIa02|SDSS_i                      7453.765454830832    All      -6.206191361267943e-05    -2.6541741481030416e-05    -0.0002452316869284953     6.265247630114487e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4357.416907687058    All      -0.0004925439351273653    0.000181736028980845       -0.000759341148256344      0.00018574925954302647    
MWEBV         All|All|All                           All                  All      -0.8909304056502316       -4.079270083887376         0.028593053167956073       -1.037271149821868        
Redshift      All|All|All                           All                  All      4.759256601576703         -0.25073321323367814       1.7110239495848625         -1.5555633660316792       
