#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7389.566688333851     All      0.7943691663533234         -0.1677730180563941        0.5856531178277002         -0.287266354158737         
Zeropoint     AB|PS|PS_z                8492.41522960319      All      0.2888259663564827         -0.07545502823074202       -0.002274312043626381      -0.11875979652677575       
Zeropoint     AB|PS|PS_g                4804.151130476765     All      -1.09820924756764          1.22962754954008           0.10299845474878166        0.7628493763544961         
Zeropoint     AB|PS|PS_r                6100.9458015015925    All      1.0088436648008674         0.010677750914123152       -0.702871669924443         -0.3565014112919847        
Check         All|All|All               All                   All      0.9938295499430336         0.9970772541670669         -0.016494409391587528      0.00032181437699863036     
Lambda        AB|PS|PS_i                7389.566688333851     All      -0.0003240231824074567     -2.0647966610314415e-05    -0.001982963153336569      1.0328750420205959e-05     
Lambda        AB|PS|PS_z                8492.41522960319      All      0.0003817059737714827      -0.00010194496146596518    -0.00015307439067350982    -0.00016437202826049472    
Lambda        AB|PS|PS_g                4804.151130476765     All      -0.0003087530382407873     3.724220195738799e-05      -0.0005942976229397802     8.618125923629493e-05      
Lambda        AB|PS|PS_r                6100.9458015015925    All      -0.00019032519789763584    -2.0490722709706125e-05    -0.00042628262862421117    3.629764008677941e-05      
MWEBV         All|All|All               All                   All      -0.6960662209525315        -4.082515245633189         0.011990842968012672       -1.1025427619524562        
Redshift      All|All|All               All                   All      4.951350230846855          0.7855553431141971         6.003950675967018          -1.0890077019951716        
