#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7389.566688333851     All      0.7058787405352739         -0.16671171273019425      0.3293007746554806         -0.26953623685266037      
Zeropoint     AB|PS|PS_z                8492.41522960319      All      0.32595790986124606        -0.08312672116534969      0.0607272172913348         -0.13054234601227457      
Zeropoint     AB|PS|PS_g                4804.151130476765     All      -1.066364588577198         1.237351862436853         0.07726979171868427        0.7538444340324139        
Zeropoint     AB|PS|PS_r                6100.9458015015925    All      1.0328254917942787         0.011571331743454039      -0.46571957865065955       -0.35343900401497236      
Check         All|All|All               All                   All      0.9982975536136008         0.999084760284763         0.0015782050148400728      0.0003268471525065819     
Lambda        AB|PS|PS_i                7389.566688333851     All      -0.0002854907144178311     -4.18377266713833e-05     -0.0017975246904728451     -8.494771492938155e-07    
Lambda        AB|PS|PS_z                8492.41522960319      All      0.0004005920239846708      -9.98929940633499e-05     -4.622502484745573e-06     -0.000163230716901769     
Lambda        AB|PS|PS_g                4804.151130476765     All      -0.00026878762943864475    3.619221093734375e-05     -0.00043936013473441045    7.973534264409584e-05     
Lambda        AB|PS|PS_r                6100.9458015015925    All      -0.0001545009631479439     -9.621089148823426e-06    -0.00031930253419094445    3.294313577034563e-05     
MWEBV         All|All|All               All                   All      -0.6895882531614377        -4.082598396161252        0.024002533615627916       -1.1041439074574833       
Redshift      All|All|All               All                   All      4.490236168874171          0.9088621682015408        3.882991809951723          -0.993291245182164        
