#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb            Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5418.69002688316    All      3.379707134755869         -0.08362290375689696       0.2518271486701815        -1.1168826446726225        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4524.9983739236     All      -2.382340906030538        1.0856843867932398         -0.2531634515216558       1.1183524104121534         
Check         All|All|All                            All                 All      0.9973662287253311        1.0020614830363428         -0.0013363028514742914    0.0014697657395308372      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5418.69002688316    All      0.0006060977865936081     3.3579256627922212e-06     0.0003368595275935043     -0.0001812997086809465     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4524.9983739236     All      0.00011403505729960464    -0.00014319314696081508    -0.001311289292447256     -0.00014230450727221298    
MWEBV         All|All|All                            All                 All      -0.1638441806747033       -2.4730170118639094        -0.009603475985580751     -0.7526021196740165        
Redshift      All|All|All                            All                 All      -3.377262190179045        0.5453557271875908         -5.25736641058055         1.0431135892889578         
