#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb            Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5418.69002688316    All      3.332424206327066        -0.0788961739230487       0.005004788259377335      -1.1109559362405799        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4524.9983739236     All      -2.3320486699564142      1.0814239183016383        0.010104164510060798      1.1123312243634955         
Check         All|All|All                            All                 All      1.0003755363706517       1.0025277443785896        0.015108952769438133      0.0013752881229156522      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5418.69002688316    All      0.0006552398907047131    2.3856051851736785e-05    0.0007351285075402604     -0.00017285707925731618    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4524.9983739236     All      0.0002626783858541291    -0.0001838541312040887    -0.0007258080918902283    -0.0001778398129143906     
MWEBV         All|All|All                            All                 All      -0.16278849181193733     -2.472965231450175        -0.0023547834962389658    -0.7526056498297142        
Redshift      All|All|All                            All                 All      -3.207387635800604       0.6167633772014014        -4.387194942164729        1.0498714351548657         
