#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4740.781214530633    All      -2.6649429537468294       1.295725619361754          -1.5078386591570903       1.2228321422814534        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5677.090191866199    All      3.658444152116222         -0.29261043633859174       1.5042785072538312        -1.2198594244172767       
Check         All|All|All                            All                  All      0.9935011983693931        1.0031151830231622         -0.00356015190325909      0.0029727178641767438     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4740.781214530633    All      -0.0005766185643081702    -0.00010807980992038756    -0.002774582581809257     2.8801609341991657e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5677.090191866199    All      -0.0008060920595723553    6.683885354482325e-05      -0.0002649700769352536    0.0002725179194062048     
MWEBV         All|All|All                            All                  All      -0.29664482471267695      -2.637091582493767         -0.021789470915156706     -0.7633328714320737       
Redshift      All|All|All                            All                  All      3.9178143853319645        1.827085316759991          6.879681603983467         -0.37401064782613624      
