#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4740.781214530633    All      -2.4309972760651117       1.3516607224449473        -0.6227327616430948        1.204346452822461         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5677.090191866199    All      3.4283116344691797        -0.3490959086938972       0.6222515466829436         -1.20265768119463         
Check         All|All|All                            All                  All      0.997314358404068         1.00256481375105          -0.00048121496015118836    0.0016887716278310982     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4740.781214530633    All      -0.0005749763548837569    -8.839902284144837e-05    -0.0027146967335421185     3.7349797898058054e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5677.090191866199    All      -0.0008710204003187198    6.0679800903702326e-05    -0.0003312037957807508     0.0002887053033226252     
MWEBV         All|All|All                            All                  All      -0.2942207432317865       -2.6374213090120335       -0.020871851236490494      -0.7641889281432074       
Redshift      All|All|All                            All                  All      3.5879284221618732        1.571433745453099         4.812444138330626          -0.44208137777116563      
