#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          4717.749451693244     All      -0.3676737690088514        0.7354455522207815        1.0889528526337122         0.40791721890568455       
Zeropoint     AB|DECam|DECam_i          5731.476325583173     All      0.5001838137351933         0.018960563328818125      -2.21110299008683          -0.2554216156509026       
Zeropoint     AB|DECam|DECam_z          6716.447300048121     All      1.24483394301727           -0.017015007738763188     1.1117329422932989         -0.36141418164881145      
Zeropoint     AB|DECam|DECam_g          3549.6506780755235    All      -0.3845553959831782        0.26528853491747384       0.031108107505897764       0.21306375948826062       
Check         All|All|All               All                   All      0.9927885917604335         1.0026796427283102        0.02069091234607867        0.004145181094231121      
Lambda        AB|DECam|DECam_r          4717.749451693244     All      -0.00010735498440786373    0.00012169088579742263    -0.00013451406467737006    6.860503040537025e-05     
Lambda        AB|DECam|DECam_i          5731.476325583173     All      -7.738951781924185e-05     4.8808093954242375e-06    0.0005063297197465629      4.939332209118737e-05     
Lambda        AB|DECam|DECam_z          6716.447300048121     All      -0.0008266454021885213     -7.416739426932121e-05    -0.0016203835809113002     0.00017279656590695505    
Lambda        AB|DECam|DECam_g          3549.6506780755235    All      -0.0009557962151383511     0.0005714511744490175     -0.0005253538940338246     0.00047403058830773116    
MWEBV         All|All|All               All                   All      -0.4033563024305753        -2.68382395954454         0.023050512451612548       -0.7417947025759264       
Redshift      All|All|All               All                   All      4.404409732564935          -0.7254657175696622       1.760080855435102          -1.5924248771791494       
