#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I 8230.088792951214 All 0.013167976071549924 -0.027530369754479977 0.03917638288381031 -0.011508528133859247
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B 4389.550136716665 All -0.4592571001770748 0.3488986633765654 0.34225496389823773 0.27851618684289864
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I 8217.898171067536 All 0.13868665156603693 -0.03764618336939929 0.10554119110661064 -0.05272758689049856
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V 5374.35033390203 All 0.5636654442469116 0.21699845562655806 -0.028927037495544816 -0.11421172402516062
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R 6338.653754077315 All 0.680330594035528 -0.021851717066663667 0.3037119656392018 -0.21517060970997426
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U 3651.0925215531465 All -0.020399009429978607 -0.015893746225778216 -0.049775908715342876 -0.0007537577491210368
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B 4362.162596328337 All -0.03975486926692761 -0.010946829792279011 -0.1973050086482897 0.0005789098663950831
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V 5383.779785166584 All 0.0028519291450220946 -0.03503037866321268 -0.06528783482277056 -0.015253010156011187
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R 6361.577717232501 All 0.016571685024334107 -0.03232102211398491 0.020160517132364664 -0.015026291951526077
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U 3655.5785939537673 All -0.2764821734446062 0.12272054595779913 -0.09658691095569427 0.12572322886041537
Check All|All|All All All 0.6193811277707952 0.5073974179751248 0.3729623200225829 -0.019833183046441855
