#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8230.088792951214     All      0.05945733763282007        -0.007459289526057233      0.02781543979975641        -0.020555671630720092      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4389.550136716665     All      -0.4026304799244186        0.3998342655873621         0.5702420169761536         0.28683645010993936        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8217.898171067536     All      0.2107296321418798         -0.032982828408956166      0.25575289667644713        -0.06797208915510186       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5374.35033390203      All      0.5664876939181667         0.3872763936090706         0.09467237091663745        -0.05415022328779049       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6338.653754077315     All      0.8808286656166975         -0.002514047757973259      0.43591981399846036        -0.2682806836667367        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3651.0925215531465    All      -0.05182853979752153       0.01754256762671602        -0.09390601001446253       0.018405857997477584       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4362.162596328337     All      -0.105848508664735         0.03758835303337982        -0.47233418382106457       0.02564399951616579        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5383.779785166584     All      0.029933017726474          0.002980932610086029       -0.583599779045792         -0.03482255858164869       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6361.577717232501     All      0.1700293632645433         -0.020039877938060613      -0.2898256188931155        -0.07484539120226734       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3655.5785939537673    All      -0.361231356645778         0.21518759875114313        0.05880201327480979        0.19038268117771015        
Check         All|All|All                                  All                   All      0.995926825268128          0.9974140675867105         0.003538959867830281       0.0006423712770277368      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8230.088792951214     All      -1.4187070070995975e-06    1.6946671020019039e-07     -5.751193866646344e-07     4.916554922888381e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4389.550136716665     All      -0.00022141969087291602    -1.0439026132972413e-05    -0.0010035049696331853     2.3941525700389978e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8217.898171067536     All      -2.136511813548369e-05     6.726494832183421e-06      -4.9044221666780404e-05    6.961744169159021e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5374.35033390203      All      0.00010407114598208407     4.134476069566893e-05      -0.0008095557177665419     -5.655880085356072e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6338.653754077315     All      -0.00024096249463005187    -4.667010727015939e-06     -0.00037335531152318856    6.030808020337431e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3651.0925215531465    All      -0.00015255848185960247    5.141888935910067e-05      -0.0002799293229765866     5.3950180446550744e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4362.162596328337     All      -0.0001109570306031185     3.94513305891968e-05       -0.0005011757973465907     2.6627777510043115e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5383.779785166584     All      2.5261869865253247e-05     2.247254783366601e-06      -0.00045775253368445396    -2.7924010487510375e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6361.577717232501     All      -9.503245434386668e-06     1.1468077433552242e-06     1.516820805514962e-05      4.1459601567743945e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3655.5785939537673    All      -0.0007151480628217553     0.00024098895818932148     -0.001004934622216761      0.0002665996670252054      
MWEBV         All|All|All                                  All                   All      -1.0437341106049374        -3.973334147038843         0.12711542235329112        -0.9485945353653109        
Redshift      All|All|All                                  All                   All      6.454746740229804          -0.9767460757247548        8.009078694423978          -2.0632733012438025        
