#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5011.744832228101     All      0.7644495244905647         0.3304910096577629        -0.28475927039883775      -0.15406206347799434      
Zeropoint     AB|SDSS|SDSS_g            3835.4180604132944    All      -1.118487577818989         0.5877207202015455        0.4226798875314852        0.5746304373330124        
Zeropoint     AB|SDSS|SDSS_i            6077.616572861507     All      1.1614523665424417         0.06684365220728239       -0.5422894796005995       -0.3807499586450949       
Zeropoint     AB|SDSS|SDSS_z            7225.779483203489     All      0.19104792320205588        0.01396249431540042       0.40625265158573676       -0.03955336013661548      
Check         All|All|All               All                   All      0.9984622364160731         0.9990178763819912        0.001883789117784751      0.0002650550733077073     
Lambda        AB|SDSS|SDSS_r            5011.744832228101     All      -0.00020204052098467325    -9.281455797187951e-05    -0.0018616355171089413    -4.749775336518934e-05    
Lambda        AB|SDSS|SDSS_g            3835.4180604132944    All      -0.0018442414993916705     0.0006470872006908495     -0.003198559982181043     0.0006687706783464878     
Lambda        AB|SDSS|SDSS_i            6077.616572861507     All      -1.2545652289154108e-05    -6.664501366515173e-06    -7.518523956387437e-05    -1.439487588798649e-06    
Lambda        AB|SDSS|SDSS_z            7225.779483203489     All      -8.006589378697608e-06     2.845484991027153e-06     9.779520874544917e-05     7.899028654023224e-06     
MWEBV         All|All|All               All                   All      -0.5536612149492912        -3.10326213559442         0.1498089844484518        -0.8238036123047854       
Redshift      All|All|All               All                   All      5.676681624869011          0.48195837586799684       6.458348862075569         -1.4038858159272514       
