#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5375.239026765599     All      0.32354260508394383        0.1209523886780417         0.06286254575220696        -0.06318503180385987       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6193.9645858988515    All      0.5252939445779665         -0.028933554512278192      0.011940929159637292       -0.17999726117113174       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7546.2485757731265    All      0.1754880471904282         -0.02299127489688857       0.04017823558973843        -0.06285827485717349       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4751.46351219225      All      -0.25209962617989146       0.3170998569030914         0.008834508409821806       0.1858012412818008         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7519.9855149504       All      0.1790621535828127         -0.030133796953002445      -0.005638464436652502      -0.06839362220313894       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6150.547017467634     All      0.5614963347535223         -0.04026180672251911       -0.058554764124318925      -0.19862545412412808       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4349.5386444223805    All      -0.36325630288105926       0.24300108397081743        -0.06339955383681817       0.19464874526913117        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4346.458156341997     All      -0.31283828426566807       0.21349895915552253        -0.03214423509360076       0.17001090658415874        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5313.3114441812595    All      0.32657622892168514        0.14990920108619576        0.048090395180633294       -0.05540020967288034       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3554.5479546287324    All      -0.1645915435987978        0.07411910594070648        -0.009811840396667382      0.07731805452936835        
Check         All|All|All                                All                   All      0.9986735571849421         0.996260162649687          0.0023577562039800437      -0.000680906167853379      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5375.239026765599     All      4.634586146459808e-05      -1.0371774144576086e-05    -0.00031549383355170804    -3.2553840653341424e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6193.9645858988515    All      -0.00016215277778309283    -1.0915440298589565e-05    -0.00019132949976450534    4.072481954943519e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7546.2485757731265    All      -5.4367164344352746e-05    2.971694039601074e-06      -4.7002524617893115e-05    1.6579645769153898e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4751.46351219225      All      -8.460189552799875e-05     -4.3763576731364306e-05    -0.0005248083787442609     -1.0117403612810848e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7519.9855149504       All      -4.210573142937254e-05     -3.890301083513692e-06     -8.611873116089769e-05     8.604939471275525e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6150.547017467634     All      -0.00014274708232224075    -1.4882050073374411e-05    -0.00023328936803178655    3.123921460212104e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4349.5386444223805    All      -0.0001455106786692059     3.858733316918748e-05      -0.00026582318638059633    4.8104311174023356e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4346.458156341997     All      -0.00013498653157259115    2.6914026834233586e-05     -0.00030966693086889905    3.8917325367356864e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5313.3114441812595    All      5.0962485048821317e-05     -1.717268569410576e-05     -0.0005603115890558613     -4.7197999493022833e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3554.5479546287324    All      -0.0003020171431242415     8.267944769901004e-05      -0.00029788344197171246    0.00011201516588701202     
MWEBV         All|All|All                                All                   All      -1.012382453204201         -3.9881990947796098        0.0003241325667202588      -0.9693069170728887        
Redshift      All|All|All                                All                   All      5.583753615222982          0.9414629697261034         3.058732471582004          -1.375649608107539         
