#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4362.119964842422     All      -0.5717308990804295        0.40341602861895254        0.19749674284331079        0.32645080829606377        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5466.541242710932     All      0.5863303100422381         0.12536457576497462        0.09151877739367267        -0.14606764227176883       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6191.274343675159     All      0.963690063684318          -0.11698905332568899       0.04680206107514594        -0.34992418066537856       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7512.965624193677     All      0.307708663030778          -0.05101177190871553       0.17097149517563814        -0.10921737462554759       
Zeropoint     AB|CNIa02|SDSS_i                      7459.7789319397025    All      0.05838494679435709        -0.006602616039597109      0.06281930939826245        -0.01836524998253819       
Zeropoint     AB|CNIa02|SDSS_r                      6151.508253853251     All      0.12775652285589603        -0.012193007950722645      0.04750469645114956        -0.04346624996508508       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4696.694222747335     All      -0.5922581723626661        0.5007612102907455         -0.23756212591461764       0.3454310656036186         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4360.932342534983     All      -0.13705222295083097       0.07728157681952119        -0.05878560626680074       0.06719223834260601        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5455.755793338528     All      0.24477640406002632        0.07826751526542886        -0.34131540835610985       -0.06946876213009268       
Check         All|All|All                           All                   All      0.9876056160736869         0.9982944575348984         -0.02055005820034872       0.0025646526018774374      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4362.119964842422     All      -0.0002754775375941647     0.00011177937580921734     -0.00045283444577013824    0.00010593439554816714     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5466.541242710932     All      7.86061809459602e-05       9.701982484860067e-06      -0.0003151158608399143     -3.650653791406137e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6191.274343675159     All      -0.00011290815094232905    -8.012910746655762e-06     -0.0003200266164458022     1.9886512619738892e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7512.965624193677     All      -4.824547637181821e-05     4.653144461210525e-06      -8.506908452746593e-05     1.3434578583962835e-05     
Lambda        AB|CNIa02|SDSS_i                      7459.7789319397025    All      -1.3386350462193954e-05    2.1138897360214323e-06     -9.201524285408572e-06     4.6383164075291246e-06     
Lambda        AB|CNIa02|SDSS_r                      6151.508253853251     All      1.9998526254171724e-05     -3.4692016997199413e-06    9.105926210108638e-07      -7.603575493424488e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4696.694222747335     All      -0.0003043651261582657     -3.168797291473809e-05     -0.0017573799439353135     1.0396124079605758e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4360.932342534983     All      -8.103020940492481e-05     2.7563656824193305e-05     -0.00019263839173086004    2.677602819608804e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5455.755793338528     All      2.043185767955986e-05      2.0992057181322924e-05     -9.855549627727432e-06     -2.5733250724286465e-07    
MWEBV         All|All|All                           All                   All      -0.8868138115502466        -4.087971955357039         0.05217436703246099        -1.0403942200401777        
Redshift      All|All|All                           All                   All      5.411246470237426          -0.06645384795591625       5.511799298179704          -1.538300916724014         
