#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4362.119964842422     All      -0.6120017538040985        0.3901404651579288         0.04796518949296992        0.32857115632656814        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5466.541242710932     All      0.5999646845383965         0.11575896588582602        0.07949159571310162        -0.15417438763513863       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6191.274343675159     All      0.9484214876024943         -0.11168804274954702       0.03188032780002984        -0.343889877994605         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7512.965624193677     All      0.32305779860562306        -0.0531278484713571        0.16431810680451578        -0.11520327897223503       
Zeropoint     AB|CNIa02|SDSS_i                      7459.7789319397025    All      0.07088002525050092        -0.008371053530309425      0.07113418945053869        -0.022640291474295297      
Zeropoint     AB|CNIa02|SDSS_r                      6151.508253853251     All      0.16050620507751204        -0.01533460302716172       0.059094999609535605       -0.054639997771390024      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4696.694222747335     All      -0.5993508864303215        0.5113811151996384         -0.08326731690059647       0.35808611700800597        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4360.932342534983     All      -0.17528153430488197       0.09089083626880878        -0.10853118777766362       0.08185784946193837        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5455.755793338528     All      0.2814176904810136         0.07734123225788814        -0.259573264081305         -0.07805797895839227       
Check         All|All|All                           All                   All      0.9976137170162386         0.9969910669917148         0.0025126401111263963      -9.069000954378681e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4362.119964842422     All      -0.00021716098597426197    5.2135561703606765e-05     -0.0005311413831211332     6.40163446873855e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5466.541242710932     All      5.090305314633923e-05      -1.1666331814358087e-05    -0.000322101280937714      -3.4754807963897114e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6191.274343675159     All      -0.00018605657840543554    5.392132030850555e-06      -0.0002934027010733536     4.926792846554939e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7512.965624193677     All      -5.6264978989861897e-05    6.2189010086812205e-06     -8.638553211229371e-05     1.6498065830344912e-05     
Lambda        AB|CNIa02|SDSS_i                      7459.7789319397025    All      -1.474124532166434e-05     2.226016331335115e-06      -1.131530253204904e-05     5.021845344009361e-06      
Lambda        AB|CNIa02|SDSS_r                      6151.508253853251     All      3.2351794029882753e-06     -1.1943948818579547e-06    -1.2837109591585206e-05    -2.0157193156004573e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4696.694222747335     All      -0.00023368679987408563    -9.741911456588949e-05     -0.0017424616967152491     -3.337119450872737e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4360.932342534983     All      -8.44714236164204e-05      2.3352931847342117e-05     -0.00020250749918114883    2.608496028532415e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5455.755793338528     All      3.072972421274314e-05      5.153375908686104e-06      1.3273324618653589e-05     -7.738730563941854e-06     
MWEBV         All|All|All                           All                   All      -0.8969616985264643        -4.084714067284789         0.04787222499668344        -1.0362195029100258        
Redshift      All|All|All                           All                   All      5.307426293556275          0.6309107557462834         5.385074762383977          -1.282983809564621         
