#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4670.730382216588    All      -1.0167154339323505       1.0993562719030514         0.14138217044225085       0.6955834082039057         
Zeropoint     AB|PS|PS_z                8256.56411591074     All      0.33331622366119895       -0.07892369927322562       0.08052164167800512       -0.1306867941448006        
Zeropoint     AB|PS|PS_r                5931.510508600982    All      0.909695401490957         0.12778186775008749        -0.6486271942597683       -0.28364021477343904       
Zeropoint     AB|PS|PS_i                7184.343852894422    All      0.7714043093063434        -0.14950841723884167       0.42512609351177166       -0.281000147144649         
Check         All|All|All               All                  All      0.9977005005261484        0.9987060231410716         -0.0015972886277407228    0.00025625214101715477     
Lambda        AB|PS|PS_g                4670.730382216588    All      -4.91671530066594e-05     -8.139712174616186e-05     -0.0008253741582765668    -4.733101903042089e-05     
Lambda        AB|PS|PS_z                8256.56411591074     All      0.00016920492373517437    -4.1047932200431365e-05    3.162474301883268e-05     -6.707500525798882e-05     
Lambda        AB|PS|PS_r                5931.510508600982    All      -7.318371692150276e-05    -2.029014019478833e-05     -0.0004343830667344343    -2.1553431322159846e-06    
Lambda        AB|PS|PS_i                7184.343852894422    All      -0.0003211282014088814    2.7604395293553372e-05     -0.0006208198830198808    8.588933965104595e-05      
MWEBV         All|All|All               All                  All      -0.6590999812674556       -3.9331748160168267        0.057491169935434114      -1.0639083206736861        
Redshift      All|All|All               All                  All      4.6303794097971895        0.44468381144291413        8.029748796259298         -1.0050879522041536        
