#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4670.730382216588    All      -1.0696749118898379        1.1255672856801624         0.12046919248575039        0.7204385918373121        
Zeropoint     AB|PS|PS_z                8256.56411591074     All      0.3239397372007602         -0.06986723494701863       0.09817538229429656        -0.12389477028451473      
Zeropoint     AB|PS|PS_r                5931.510508600982    All      0.87643549123812           0.09379081662217459        -0.8794697217664127        -0.2941798131915127       
Zeropoint     AB|PS|PS_i                7184.343852894422    All      0.8568538657509321         -0.15072727659806162       0.5807604074358041         -0.3022856568502569       
Check         All|All|All               All                  All      0.9875541822999745         0.9987635907572567         -0.08006473955056159       7.835151102780769e-05     
Lambda        AB|PS|PS_g                4670.730382216588    All      -2.0067974772445347e-05    -0.00015416653759323188    -0.0010144969008756678     -8.895265089275344e-05    
Lambda        AB|PS|PS_z                8256.56411591074     All      0.00016792817699821214     -3.7817679921366266e-05    2.9182189349546658e-05     -6.571592735462232e-05    
Lambda        AB|PS|PS_r                5931.510508600982    All      -0.00011504779324700085    -5.152514505409526e-05     -0.00046229927130738807    6.11231347861288e-08      
Lambda        AB|PS|PS_i                7184.343852894422    All      -0.0003215521919006622     3.9081978174717096e-05     -0.0005235341663458947     9.410748836677256e-05     
MWEBV         All|All|All               All                  All      -0.6742452188249692        -3.9308629799977624        0.0045018740149727066      -1.06058664639503         
Redshift      All|All|All               All                  All      4.600284085678734          0.881085524849734          7.04614612318809           -0.8970281895609874       
