#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                8304.378399139992    All      0.23852216230209286        -0.049262479455602914     0.2117318297983775        -0.08429230653919155      
Zeropoint     AB|PS|PS_r                5965.860259835761    All      1.075566492552841          0.13473513054522712       0.6482270382472206        -0.27753233152043805      
Zeropoint     AB|PS|PS_g                4697.778876269024    All      -1.094051298151388         1.1222658660929419        -0.2673211902922708       0.7099980981023742        
Zeropoint     AB|PS|PS_i                7225.948840995545    All      0.7787783959294354         -0.20878654287237453      -0.5864220917723307       -0.3478517151057392       
Check         All|All|All               All                  All      0.9988157526329814         0.9989519743101916        0.006215585980996585      0.0003217449370054304     
Lambda        AB|PS|PS_z                8304.378399139992    All      0.0001855621061392637      -3.938726805550945e-05    0.0001857674027730815     -6.498346580288632e-05    
Lambda        AB|PS|PS_r                5965.860259835761    All      -0.00019298505677765038    -1.530845066033938e-05    -0.0005475756144859216    3.343933124844943e-05     
Lambda        AB|PS|PS_g                4697.778876269024    All      -0.00011889933775313853    -1.969457049473537e-05    -7.922321217070651e-05    2.877888833583595e-05     
Lambda        AB|PS|PS_i                7225.948840995545    All      -0.00017591110040119612    -8.089758847042032e-05    -0.0023351471710912823    -7.325786661522146e-05    
MWEBV         All|All|All               All                  All      -0.6899590329245675        -3.9622825692480212       -0.0667700069098571       -1.068883070772021        
Redshift      All|All|All               All                  All      6.152499735438495          -0.00776690558259574      1.0061705424331138        -1.9617007415986172       
