#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                8304.378399139992    All      0.2886026439712447        -0.06711435274446842       0.20868484158783618        -0.10655608254663829      
Zeropoint     AB|PS|PS_r                5965.860259835761    All      0.870261885043324         0.20504846194100423        0.5731958809805482         -0.19110279720129797      
Zeropoint     AB|PS|PS_g                4697.778876269024    All      -1.0855253258783766       1.1469361383461774         -0.35787275467573654       0.7112159273074847        
Zeropoint     AB|PS|PS_i                7225.948840995545    All      0.9215004121627969        -0.28470519375414227       -0.42868811140013285       -0.4120312303513868       
Check         All|All|All               All                  All      0.994839615298989         1.000165053788571          -0.004680143507485024      0.001525817208161695      
Lambda        AB|PS|PS_z                8304.378399139992    All      0.00018439165751392796    -4.855124080133917e-05     0.000136359326733529       -6.979207509862335e-05    
Lambda        AB|PS|PS_r                5965.860259835761    All      7.376606372541898e-05     -2.408710715455951e-05     -0.00027279842494516937    -4.40477378167644e-05     
Lambda        AB|PS|PS_g                4697.778876269024    All      -0.0003560783586452484    0.00024264117613851467     -2.484617153810455e-05     0.00019391387924529082    
Lambda        AB|PS|PS_i                7225.948840995545    All      -9.663213183432908e-05    -0.00010941689949957657    -0.002115239533738584      -9.855784488190017e-05    
MWEBV         All|All|All               All                  All      -0.6706689978651772       -3.9752903221780045        -0.06586083701598522       -1.0793629508091263       
Redshift      All|All|All               All                  All      5.2636171390073905        -1.034894165421285         -1.0501704382943622        -2.0984966301221513       
