#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7736.667182195425     All      0.06507257220076157        0.0015100842865933828      0.08717234304042032       -0.016814292155580002     
Zeropoint     AB|SDSS|SDSS_r            5366.092593770443     All      0.9921926291885154         0.3878517676099591         0.35755496682354226       -0.18089766486115016      
Zeropoint     AB|SDSS|SDSS_u            3123.0105920133865    All      -0.10053345736179287       0.055310520423645926       0.24010266232958877       0.06147818974742425       
Zeropoint     AB|SDSS|SDSS_g            4106.595434717547     All      -0.7480481029358101        0.5225083982702827         -0.8662622051090696       0.3752047488945115        
Zeropoint     AB|SDSS|SDSS_i            6507.325167412735     All      0.7865500088225755         0.030570101104210323       0.1867864960712673        -0.237912103503779        
Check         All|All|All               All                   All      0.9952336499142496         0.9977508716946915         0.0053542631557490505     0.0010588781214265763     
Lambda        AB|SDSS|SDSS_z            7736.667182195425     All      -9.378585364473866e-07     -1.5865597767491486e-07    5.063512332295435e-06     4.797732079143148e-07     
Lambda        AB|SDSS|SDSS_r            5366.092593770443     All      0.00018969188798054844     6.165528911289189e-05      1.4202881332885309e-05    -4.107192316776914e-05    
Lambda        AB|SDSS|SDSS_u            3123.0105920133865    All      -7.788098032858316e-05     2.3007132676844546e-05     -7.643385155402954e-05    2.9451685779324322e-05    
Lambda        AB|SDSS|SDSS_g            4106.595434717547     All      -0.0005277357646460621     0.00016290195346957295     -0.0021740620122105954    0.00012794502359699786    
Lambda        AB|SDSS|SDSS_i            6507.325167412735     All      -0.00029278840670585144    -9.637785618773831e-06     -7.146913628424195e-05    8.904213336030504e-05     
MWEBV         All|All|All               All                   All      -0.8587322389229279        -3.3117806226655944        0.4582866333664559        -0.7785873338669258       
Redshift      All|All|All               All                   All      4.7199415163901515         0.0857409240166973         3.145328946377568         -1.3691500087034945       
