#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7736.667182195425     All      0.07278721279625915        -0.0023360965446528326    0.05954615008406597        -0.02181286214312539       
Zeropoint     AB|SDSS|SDSS_r            5366.092593770443     All      0.9519446325655145         0.3663826073726284        0.08190702584932122        -0.18708168164544925       
Zeropoint     AB|SDSS|SDSS_u            3123.0105920133865    All      -0.09447046533452993       0.04895905415089885       0.16949208392568132        0.05428336644405444        
Zeropoint     AB|SDSS|SDSS_g            4106.595434717547     All      -0.8414356445296934        0.582760595129983         -0.5626715917707271        0.43879812103813903        
Zeropoint     AB|SDSS|SDSS_i            6507.325167412735     All      0.9031974791495325         0.0045699441574953426     0.25875882492903496        -0.28116533419438416       
Check         All|All|All               All                   All      0.9920232146470828         1.0003361042663528        0.007032493017376351       0.00302160949923469        
Lambda        AB|SDSS|SDSS_z            7736.667182195425     All      -1.5431029523253746e-06    -5.997651800533581e-08    3.616916457847091e-07      4.992437100301446e-07      
Lambda        AB|SDSS|SDSS_r            5366.092593770443     All      0.0002725441268820341      9.284791973798205e-05     6.967798332919672e-05      -5.5423558119854106e-05    
Lambda        AB|SDSS|SDSS_u            3123.0105920133865    All      -6.96596796685866e-05      3.593531936918415e-05     0.00012136942862205285     3.981192532866188e-05      
Lambda        AB|SDSS|SDSS_g            4106.595434717547     All      -0.0006803541178988693     0.000310491207511417      -0.0018254744460284307     0.00024128837990371053     
Lambda        AB|SDSS|SDSS_i            6507.325167412735     All      -0.0002654536743262306     1.3585346507468363e-06    -0.00012147048164223253    8.148884462279857e-05      
MWEBV         All|All|All               All                   All      -0.772821949332652         -3.350820422507539        0.35115161058317435        -0.8240686327442971        
Redshift      All|All|All               All                   All      4.670483472497697          -0.7907131738537743       -0.5483227756511638        -1.8033605428715573        
