#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5321.401465711656    All      0.2326801675140158         0.23218516044778426       0.10247526576710325        0.00441176037259336        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4302.924705048897    All      -0.5149649118425353        0.36016809782530856       0.07214444659456518        0.2882790875737132         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5272.719575836914    All      0.14867686855763598        0.23127228221433427       -0.2151322692212583        0.017303678427812996       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7470.666519532759    All      0.24487784513107932        -0.04453500055383586      0.1530660210256496         -0.08744065172781798       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6232.96720512628     All      0.5857975483975965         -0.06944233855925575      -0.19368914925357444       -0.22207664508292896       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4359.754211710274    All      -0.5659760696805815        0.3867256778343986        -0.0722454818062393        0.30710231808062716        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6131.926796528219    All      0.6849860668133696         -0.05706359760182522      0.1363661743223825         -0.2356245923560353        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7722.787995994576    All      0.17957211979155674        -0.04220945984192426      0.016418227332731794       -0.0715088868042009        
Check         All|All|All                                All                  All      0.9956496346821369         0.9971008217649846        -0.000596765238639746      0.0004460684837635509      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5321.401465711656    All      3.145427705139385e-05      4.770098523067399e-05     -0.00032206844454239585    -9.080348118250195e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4302.924705048897    All      -0.0002389994655487894     0.00012105066874255881    -0.0002586334309508493     0.00010573855187331656     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5272.719575836914    All      -1.4372915613712105e-05    3.4444493415982976e-05    -0.0009356390037570091     -2.5851835337138494e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7470.666519532759    All      -8.466236362860236e-05     1.4420625696251114e-05    -8.01009107537886e-05      2.870005359986464e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6232.96720512628     All      -0.00015221612692575853    -2.348074741973721e-06    -0.00031737165969028167    3.46541155720574e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4359.754211710274    All      -0.0002623124387142106     0.00010812017744400644    -0.0004722001438893638     9.958996626885154e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6131.926796528219    All      -0.000135806902403925      8.176046800932376e-06     -0.00022145219157841724    3.7017589237333624e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7722.787995994576    All      -2.789130969452791e-05     7.465110740722549e-06     1.333789457869379e-05      1.2111958303756191e-05     
MWEBV         All|All|All                                All                  All      -0.8314059375939262        -4.004030582497542        0.03615854992515821        -1.0318146330826936        
Redshift      All|All|All                                All                  All      5.460255337633061          -0.21169608996194356      4.5752371976597495         -1.643369358799876         
