#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5321.401465711656    All      0.24405035576329           0.22930495292756703       0.09073019190436134        -0.0007541910569464047     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4302.924705048897    All      -0.5607129515288669        0.3740029430909786        0.0010894398553814681      0.3045163348143429         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5272.719575836914    All      0.16496016075164777        0.22948649054672643       -0.15497174149721324       0.01410267140389591        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7470.666519532759    All      0.25447844848011675        -0.04677608565790692      0.1482185088243538         -0.09151420144269942       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6232.96720512628     All      0.5919741177027461         -0.0721975771632799       -0.1891817860267642        -0.22478488584745693       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4359.754211710274    All      -0.570481573507731         0.3821876459108253        -0.08148383184031115       0.30667945747766573        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6131.926796528219    All      0.6822604834353007         -0.055714025022624014     0.15618600684411757        -0.23341271189585688       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7722.787995994576    All      0.1900825126526168         -0.04343865265203917      0.029685544271207516       -0.07474079665781777       
Check         All|All|All                                All                  All      0.99661155374912           0.9968556919802474        0.0002723323351331089      9.167679512719906e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5321.401465711656    All      4.153607537698721e-05      2.8822320576888097e-05    -0.0003682439882633381     -2.057432612123011e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4302.924705048897    All      -0.00024374128598410457    0.0001058989141695218     -0.0003308214962488228     9.912627204154321e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5272.719575836914    All      8.10672596744956e-07       2.55095928633765e-05      -0.0008745735859804791     -3.0982951469932934e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7470.666519532759    All      -7.893983605546512e-05     1.4132792213791098e-05    -7.11995941526325e-05      2.7139506146692367e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6232.96720512628     All      -0.00016029121173040425    2.301592968222641e-06     -0.0002731990285720437     4.077020774731495e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4359.754211710274    All      -0.00026126123521905007    9.423365833841967e-05     -0.0005354856837738762     9.190011559623737e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6131.926796528219    All      -0.00013654948410066203    6.361890088921555e-06     -0.00019372165558687442    3.7906028460645535e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7722.787995994576    All      -3.1493107048627224e-05    8.618591453203065e-06     1.2247945676254722e-05     1.3612269400481167e-05     
MWEBV         All|All|All                                All                  All      -0.8382526890065605        -4.00207875962062         0.02756247110232479        -1.02933225148959          
Redshift      All|All|All                                All                  All      5.552437551655025          0.007568912389821492      4.94787415501198           -1.58534523779432          
