#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5988.456846394835    All      1.2016418559257651         -0.07682397280595055       -0.18096293240330574       -0.4245139252348432       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4219.223009386123    All      -0.7101020591922246        0.43426685029910317        0.10658130051510728        0.3775148363719536        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7266.851367181516    All      0.4449973703086098         -0.06408867795828499       0.17867834544409433        -0.15785248043682537      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4542.837082056793    All      -0.6391587504203293        0.31035543268016497        -0.8492120067689513        0.27139157595216545       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5287.464989248036    All      0.704518421451282          0.3907143518730116         0.740267337555478          -0.06918157795868726      
Check         All|All|All                      All                  All      1.001896838073103          0.9944239840880442         -0.004647955657577363      -0.002641571306236795     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5988.456846394835    All      -0.00023742191160769355    -5.9805686770225515e-05    -0.0007773861293001084     2.3164275284479864e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4219.223009386123    All      -0.0004098733638518389     0.00014594709426660215     -0.00035704356568788686    0.0001651157946642347     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7266.851367181516    All      -0.0001550964595614318     -5.2138172984920734e-05    -0.0006755164413018275     3.391704924482302e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4542.837082056793    All      -0.00018122653024975701    -5.941432549449946e-06     -0.0007077688644349786     2.5511649274500002e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5287.464989248036    All      0.00011689130948914905     5.355334690100093e-06      -0.0008604429700304743     -7.472855429746709e-05    
MWEBV         All|All|All                      All                  All      -0.8116512740621906        -3.9248805958977506        0.00982033381440317        -1.0136429759293117       
Redshift      All|All|All                      All                  All      7.347971839846911          0.21669611443355663        9.516914871149051          -1.8981949146794574       
