#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_g
@MAGSYS  Linear_AB11_off
57020.42443  18.141  0.021
57020.42693  18.282  0.024
57038.4944  17.775  0.014
57038.49189  17.767  0.014
57042.3061  18.008  0.016
57042.30861  18.02  0.014
57051.38043  18.777  0.021
57051.37677  18.744  0.023
57057.34869  19.283  0.102
57057.34503  19.148  0.092
57062.32773  19.531  0.044
57062.3314  19.733  0.04
57071.28914  20.014  0.085
57071.28549  19.943  0.075
57077.27871  20.252  0.083
57077.28238  20.439  0.096
57087.36061  19.261  0.141
57087.36427  19.561  0.203
57092.34208  20.898  0.186
57092.34689  20.625  0.146
57096.27997  20.727  0.099
57096.28483  20.734  0.096
57100.30562  20.762  0.113
57100.31046  20.792  0.132
