#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5988.456846394835    All      1.2614013679679732         -0.05065642001209625       0.05789315733192321        -0.4247968812461225        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4219.223009386123    All      -0.651045807783825         0.44375158817109295        0.24197252954216075        0.367409652280845          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7266.851367181516    All      0.48783558706680286        -0.09296886468499466       0.052972911180418844       -0.18682318010426063       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4542.837082056793    All      -0.6486770277493712        0.3791298781737673         -0.5831187143588268        0.30876861304755027        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5287.464989248036    All      0.5497320027159716         0.3179992200061932         0.23148264159958365        -0.06515298397740565       
Check         All|All|All                      All                  All      0.9992461222175514         0.9972554016539625         0.0012025252952597154      -0.0005947799993935576     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5988.456846394835    All      -0.0001873113190350414     -4.367820854813953e-05     -0.0005404929633240308     2.2666310915801178e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4219.223009386123    All      -0.0003877855386613221     0.00017095854421547927     -0.00027169155040010777    0.0001698769838670966      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7266.851367181516    All      -8.119410105691413e-05     -4.3845985305514924e-05    -0.00046061770687974503    -8.389742700692463e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4542.837082056793    All      -0.00027101164417726485    2.5179176796570616e-05     -0.0007583302048468122     6.263830062209192e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5287.464989248036    All      0.0001819338141545357      -1.7330223816181946e-05    -0.000818427260016956      -0.00010142950247330314    
MWEBV         All|All|All                      All                  All      -0.8161149435484005        -3.9252061078657086        0.009701582276538985       -1.0123003412200073        
Redshift      All|All|All                      All                  All      6.742005956579545          -0.1031229519612431        6.833429474822589          -1.9247391109088254        
