#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4131.3588793519575    All      1.2308438194295424        0.7755506363636755        0.006896128664313217       -0.14799622587584882       
Zeropoint     AB|MEGACAMPSF|z           4760.325406037339     All      1.2688400526647083        0.2756697803912189        0.2840342802740814         -0.31083308660454084       
Zeropoint     AB|MEGACAMPSF|r           3378.854050468822     All      -1.5041856379452132       -0.052827749909489796     -0.2920433270375722        0.4597224600102853         
Check         All|All|All               All                   All      0.9954982341490375        0.9983926668454046        -0.0011129180991775733     0.0008931475298956659      
Lambda        AB|MEGACAMPSF|i           4131.3588793519575    All      0.0003459114271023749     0.00032172150687577553    -0.0003597622165471971     -2.393398823894638e-05     
Lambda        AB|MEGACAMPSF|z           4760.325406037339     All      -4.036355368883563e-05    -2.885071302232606e-05    -0.00038075022861162736    -1.3241023014098823e-05    
Lambda        AB|MEGACAMPSF|r           3378.854050468822     All      -0.0031713186174299047    -0.0001133768250777543    -0.0007193443267245875     0.0009639712115931213      
MWEBV         All|All|All               All                   All      -0.4032912719344526       -1.7206347658882848       -0.005656092559636061      -0.42935452072785096       
Redshift      All|All|All               All                   All      1.310028877253544         -0.8104386611723413       0.13313818587429305        -0.6847646928212076        
