#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.198535149752    All      -1.738391613862651        0.8578484316011048         -0.15231803351771767      0.8388835423035272        
Zeropoint     AB|CNIa02|SDSS_g                      4682.042184558625    All      -0.3426805980769321       0.13867827475548822        0.14456097465341822       0.16324551347229269       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.063551641267    All      3.0748681495651202        -0.07341555615341111       -0.12584469587932912      -1.0311154492032573       
Check         All|All|All                           All                  All      0.9937959376255372        0.9231111502031819         -0.13360175474362856      -0.02898639342743725      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.198535149752    All      -0.001324038767076458     0.0010026492892577555      0.00046668707059525786    0.0007787049462559491     
Lambda        AB|CNIa02|SDSS_g                      4682.042184558625    All      -0.0005560774493978155    4.6638312870799706e-05     0.00010297979811101877    0.000200919867951083      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.063551641267    All      0.0019282005686356298     -0.00017950848994486188    -7.65507488901733e-06     -0.0006868917927818526    
MWEBV         All|All|All                           All                  All      -0.9627234162065297       -4.155381191777607         -0.21729320965757637      -1.0496504707798586       
Redshift      All|All|All                           All                  All      0.030527769839993724      -5.573403875040395         -8.437397851270534        -2.20190721514803         
