#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.198535149752    All      -2.526904817744474       0.7150397968137767        -4.0713879378536255       0.8743206733134541        
Zeropoint     AB|CNIa02|SDSS_g                      4682.042184558625    All      0.6462045492415063       0.4484213973521278        5.934431078555548         0.20040192373704616       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.063551641267    All      2.9280554262926994       -0.15097679418012433      -1.6896705020214147       -1.0783443254885203       
Check         All|All|All                           All                  All      1.047355157789731        1.0124843999857802        0.17337263868050767       -0.00362172843802         
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.198535149752    All      -0.002172652201151748    0.0005844707726836746     -0.0035150225701700453    0.0007412263458378263     
Lambda        AB|CNIa02|SDSS_g                      4682.042184558625    All      0.000262700390890035     0.0002298650098473883     0.003269321038267874      0.0001351992186319388     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.063551641267    All      0.0017808662640689523    -0.0002496600783128443    -0.002312540714784928     -0.0007646073030317042    
MWEBV         All|All|All                           All                  All      -0.9660951062228054      -4.049906714477114        -0.09246630084233391      -1.0086252415210777       
Redshift      All|All|All                           All                  All      -2.2479782977336273      -1.673663522802027        1.4547181883434324        0.25199060805688955       
