#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3701.9887307128015    All      -2.1122709395399113       0.2107020935961046        -0.4363962170398153        0.7371943815640264        
Zeropoint     AB|MEGACAMPSF|z           5217.835661281874     All      0.8910943209954856        0.11811973835040845       -0.32556332368572327       -0.26631164755375286      
Zeropoint     AB|MEGACAMPSF|i           4525.407105037117     All      2.2232766423533277        0.6705397377524847        0.7616527992234827         -0.47178842707075763      
Check         All|All|All               All                   All      1.0021000238089022        0.9993615696989977        -0.0003067415020558961     -0.0009056930604841029    
Lambda        AB|MEGACAMPSF|r           3701.9887307128015    All      -0.002734203543710788     0.0002590317699395141     -0.0013056970564835492     0.0009167279533915491     
Lambda        AB|MEGACAMPSF|z           5217.835661281874     All      0.0001743950988435495     2.0025570974788218e-05    -0.00023659867746197847    -6.084154615017991e-05    
Lambda        AB|MEGACAMPSF|i           4525.407105037117     All      -0.0007688694579661036    -0.0002288484173645286    -0.0032331625761490568     3.162142269353555e-05     
MWEBV         All|All|All               All                   All      -0.19609807267599755      -1.9591630156162054       -0.03151309209618516       -0.5756945395952395       
Redshift      All|All|All               All                   All      10.363571781209243        1.1274565079080645        5.255792831395876          -2.7739647085993306       
