#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5617.120929276064    All      3.5387961019564167        -0.23082702344421335      0.9395678317398959       -1.1859616718085553       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4690.702539729254    All      -2.541667541605029        1.2336946374631452        -0.9349564374798391      1.1880368557437904        
Check         All|All|All                            All                  All      0.9971285603513879        1.0028676140189319        0.004611394260056745     0.002075183935235092      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5617.120929276064    All      -0.0016132491620235937    -0.0007059604005883746    -0.00419515753423625     0.00010832318542177613    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4690.702539729254    All      -0.0007031518220536946    0.00048704867757668217    0.0003956768455082728    0.00040534469950000336    
MWEBV         All|All|All                            All                  All      -0.2577993573289872       -2.5922308025787544       0.027606280384806503     -0.7591691807286804       
Redshift      All|All|All                            All                  All      -0.04172574258616635      6.532164014891606         13.77925024679918        2.7562368212668606        
