#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5360.7747032585285    All      0.6667355045874217         0.4057720908916984         0.2123310285486243        -0.07552901067901036       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4343.1609735753555    All      -1.200783158754811         0.8098733038139017         -0.2333470054155533       0.6445237533637727         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8243.805340401626     All      0.33158477015724924        -0.07692959601817151       0.02277087407316954       -0.1320504092597383        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6297.353957588428     All      1.2016489559009447         -0.14077006568760098       -0.0009684531706574978    -0.43731325722245135       
Check         All|All|All                                   All                   All      0.9991860718908043         0.9979457329998276         0.0007864440355830217     -0.00036892379742731185    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5360.7747032585285    All      0.0003032053771450764      0.0001001464521705628      -0.0006910916100586983    -9.698321679236328e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4343.1609735753555    All      -0.0008820399156797249     0.00036162182764964496     -0.0014639407455818137    0.00033977259321975946     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8243.805340401626     All      -1.4966837797771835e-05    -4.706337168234209e-06     -4.546021322527329e-05    1.3135020904479432e-06     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6297.353957588428     All      -0.0001720521317299805     -2.2808964666402368e-06    -0.0002878562549121242    4.24543740522408e-05       
MWEBV         All|All|All                                   All                   All      -0.8402950916958436        -4.062613058612197         0.0075274972793053846     -1.0492790553058922        
Redshift      All|All|All                                   All                   All      4.548727178650551          -0.07300253824835679       -0.07544360190497892      -1.5088161206384005        
