#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5360.7747032585285    All      0.6303236523233768         0.4060891603528738        0.19396382889529384        -0.06438483629050418      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4343.1609735753555    All      -1.1706287641289461        0.833994554761297         -0.1664683912143472        0.6455430453725985        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8243.805340401626     All      0.33683995274599055        -0.07906146711462725      0.04765785986992066        -0.13334602379753702      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6297.353957588428     All      1.2025083338782188         -0.1604869753669469       -0.05753595333195527       -0.44653997877903695      
Check         All|All|All                                   All                   All      0.9990431748186399         1.0005352726325967        0.017617344218912034       0.0012722065055204013     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5360.7747032585285    All      0.0004081973920428508      0.00021890214841670052    -0.0005683330665319966     -8.702178297753543e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4343.1609735753555    All      -0.0011410621619616845     0.0006358312531414972     -0.0010921825652187675     0.0005300535516834562     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8243.805340401626     All      7.76507072977002e-07       -9.457870329402083e-06    -5.552197956944448e-05     -5.811364365926051e-06    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6297.353957588428     All      -6.0396449631591104e-05    -3.199180217197456e-05    -0.00045522851706683885    -1.106242976499687e-05    
MWEBV         All|All|All                                   All                   All      -0.8244832020134862        -4.06857125121034         0.024226689842699045       -1.0556250790515975       
Redshift      All|All|All                                   All                   All      3.7546073696318496         -1.4377527223264686       -0.711607667009595         -1.7230782874067208       
