#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6323.863255113428    All      1.253219900602093          -0.14830483313472698      0.20539034571397793        -0.4473570867667769        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5382.153047943899    All      0.6260048389790384         0.4181386062978021        -0.17936116691527004       -0.07571293568359226       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8236.046173442159    All      0.3172681489321323         -0.07527909720947967      0.08980785392458228        -0.12385784044102416       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4364.11374931895     All      -1.1975700566457275        0.8034340662407047        -0.11480244157470311       0.6466697682054391         
Check         All|All|All                                    All                  All      0.9989228318675359         0.9979887421943001        0.0010345911485870607      -0.00025809468595416885    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6323.863255113428    All      -0.0004123901134849472     2.9510761328020795e-05    -0.0006168942547503335     0.00011641249573686394     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5382.153047943899    All      -1.9650814749992424e-05    7.35860566598022e-06      -0.0018057934871074527     -7.178641280708416e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8236.046173442159    All      -2.767603607267638e-05     3.82805050235717e-06      -4.6496350683880396e-05    8.186998870143954e-06      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4364.11374931895     All      -0.0005028447230678243     0.00017238773135195908    -0.0010402257179738402     0.00017352492868318153     
MWEBV         All|All|All                                    All                  All      -0.8651499616770493        -4.078855845632301        0.01731572143869444        -1.0460370130678016        
Redshift      All|All|All                                    All                  All      5.087325297041913          -0.6299217523204614       4.048782981064961          -1.6816168667610665        
