#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6323.863255113428    All      1.3597700796906407         -0.19611647963868606      0.49103300420645923       -0.4848908917762351        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5382.153047943899    All      0.2947210181511593         0.4614746288254423        -0.7097739211277876       0.02264318680123001        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8236.046173442159    All      0.4645260342256958         -0.13503430376298198      0.16425850080030724       -0.18796642455343182       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4364.11374931895     All      -1.1268430463213366        0.8691288366035721        0.04426510854542709       0.6521290562852222         
Check         All|All|All                                    All                  All      0.9921740857461592         0.9994526820273464        -0.010217307575594026     0.0019149267567852846      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6323.863255113428    All      -2.0108379868778568e-05    -2.493358637354576e-05    -0.0005715209365943435    -2.707608300266849e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5382.153047943899    All      0.00013862971982598867     0.0003098662348310415     -0.001884191951861401     -2.8305466579791246e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8236.046173442159    All      -2.413117091089085e-06     -8.430802170073795e-06    -7.022896266717786e-05    -5.0941540600612634e-06    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4364.11374931895     All      -0.0012969047077844558     0.0008090314670555443     -0.0008415775858423272    0.0006484169529575249      
MWEBV         All|All|All                                    All                  All      -0.8288423783893286        -4.102231117057276        0.01571189158835473       -1.065549253915421         
Redshift      All|All|All                                    All                  All      4.281671218519284          -4.19461237240899         4.5716732516926815        -2.556991646725204         
