#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F160W
@MAGSYS  VEGAHST
52549.299999999814  0.20511621788255674  0.015113455212509699  22.11
52557.299999999814  0.2187761623949548  0.018134946796556268  22.11
