#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F160W          7025.411631962314     All      0.9945639829436986        0.17461523234327814       0.20666863375241595        -0.2578616116535308       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5045.629376921288     All      0.6793124542858495        0.23570210732621888       0.469698869393842          -0.12353798105950303      
Zeropoint     VEGAHST|ACSWF|F775W            3361.1999949214355    All      -0.4301558262204997       0.09787311867768267       0.7601915137365078         0.2059202548143596        
Zeropoint     VEGAHST|ACSWF|F850LP           3947.955097799344     All      -0.24952286006954433      0.4901628059821306        -1.4299424277177897        0.17712819330760188       
Check         All|All|All                    All                   All      0.994197750939504         0.9983532643293103        0.006616589164976094       0.0016488554089276741     
Lambda        VEGAHST|NICMOS2|F160W          7025.411631962314     All      -0.0002648661292751352    -4.565706166859799e-05    -5.1355663150554034e-05    6.911183770518283e-05     
Lambda        VEGAHST|NICMOS2|F110W_faint    5045.629376921288     All      0.0003584023490133504     0.00010102535327318011    6.101435663322284e-05      -8.11133644564882e-05     
Lambda        VEGAHST|ACSWF|F775W            3361.1999949214355    All      -0.0009936298194956404    0.00018538752261665982    0.0010789054326510123      0.00043219133107019183    
Lambda        VEGAHST|ACSWF|F850LP           3947.955097799344     All      -0.0004020874804120932    0.0003973723714366489     -0.002175214548393581      0.0001633405402992904     
MWEBV         All|All|All                    All                   All      -0.12348305210984711      -1.185940022873666        0.09748712588671937        -0.3417267864877324       
Redshift      All|All|All                    All                   All      2.5918770944030323        0.17125112863389802       2.6795012286118913         -0.6689036799509138       
