#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
52549.0  0.383707245492279  0.028272470745260302  22.92
52557.10000000009  0.33419504002611494  0.02462429261722021  22.92
