#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6338.371499123063     All      1.2917237937149595         -0.16785783915169716      -0.06767828007868404       -0.47845392743890436       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4357.314389340493     All      -0.9311923666596382        0.7127291250466072        0.09106560662685281        0.5395431530339168         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7857.216756351737     All      0.30639205069821185        -0.07079642787060081      0.13831258483655018        -0.11669044118768901       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5342.8523886949915    All      0.3249758517668306         0.5265034670917323        -0.16221473339478598       0.05840527584684563        
Check         All|All|All                       All                   All      0.9918993295203635         1.0005783251160416        -0.0005148220100670287     0.0028040602541690163      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6338.371499123063     All      -0.00024204866559979747    2.0275313095788816e-05    -0.0001907497245423661     7.693526593917985e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4357.314389340493     All      -0.0005349232860760115     0.00033533464082741534    -0.0005584586800965162     0.00025855019144306325     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7857.216756351737     All      5.051600826969343e-05      -1.594179356251361e-05    1.2183840182761878e-05     -2.1103783624484906e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5342.8523886949915    All      3.479995987464647e-05      0.0002589969296110286     -0.00019825260745983474    6.418122557471818e-05      
MWEBV         All|All|All                       All                   All      -0.8182356388843846        -4.050828455440225        0.06477610656263344        -1.0500711693670228        
Redshift      All|All|All                       All                   All      2.288177212638959          -1.806625096983261        -7.437439886772312         -1.6657106104592923        
