#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6338.371499123063     All      1.2881900718329038        -0.15090892450659865      0.04207761884320604        -0.46688415718501086       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4357.314389340493     All      -1.130215490607966        0.7838669302231871        0.0003152807720704658      0.6234936854387384         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7857.216756351737     All      0.35325201265121003       -0.07442382287292659      0.13188611785145402        -0.13342261803859526       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5342.8523886949915    All      0.48733414990854906       0.4396683575929039        -0.17303643498069832       -0.023248138080782032      
Check         All|All|All                       All                   All      0.998560743784697         0.9982025404365658        0.0012425824860322066      -6.122786564975377e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6338.371499123063     All      -0.0003960142022418908    3.462951834127806e-05     -0.0002548178475163499     0.00012890347735290846     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4357.314389340493     All      -0.0003712892504899032    0.00010492601890563031    -0.0009942234910264099     0.00011075135215795289     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7857.216756351737     All      2.0859672918697785e-05    1.2687442128715167e-06    9.047614534246234e-05      -2.343875177169032e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5342.8523886949915    All      8.750925729688691e-05     6.079223484135183e-05     -0.00046971743659265095    -2.9663945038673704e-05    
MWEBV         All|All|All                       All                   All      -0.843663775950207        -4.040895730670524        0.0383168090459786         -1.0397337302544034        
Redshift      All|All|All                       All                   All      3.147249019774842         -0.17099537682616628      -3.7508463905257172        -1.2482444143658085        
