#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5595.777311874938     All      0.39840065110550016       0.010009203087868457       -0.2216276129241912        -0.13640209478444493       
Zeropoint     AB|MEGACAMPSF|g           3113.4293851541647    All      -0.358252348727023        0.04160015473697598        0.031302058074067496       0.131641982221546          
Zeropoint     AB|MEGACAMPSF|i           4857.384525696443     All      2.2972575395317136        0.6470024157293253         1.5544987015695622         -0.46817224810663144       
Zeropoint     AB|MEGACAMPSF|r           3972.363764552586     All      -1.3343563923202806       0.29346012306881164        -1.3721793932006898        0.46899932850833803        
Check         All|All|All               All                   All      1.0030494495899105        0.9920718966229813         -0.008006246481251367      -0.00393303216119234       
Lambda        AB|MEGACAMPSF|z           5595.777311874938     All      -4.944204750131338e-06    -1.3582265560059064e-05    -0.00018408905152396103    -1.1028749468635307e-05    
Lambda        AB|MEGACAMPSF|g           3113.4293851541647    All      -0.0009489388959335865    0.00012702037503126748     0.0002675813663592613      0.0003624162599856915      
Lambda        AB|MEGACAMPSF|i           4857.384525696443     All      -0.0004686054533307178    -0.00013875569163843393    -0.0011037306373335935     5.8188490025270875e-05     
Lambda        AB|MEGACAMPSF|r           3972.363764552586     All      -0.0008799080926871438    0.00015479066608258433     -0.001610024959932164      0.0002651874069247628      
MWEBV         All|All|All               All                   All      -0.3134533765352807       -2.156988770387258         0.29429234750555366        -0.5873672124572367        
Redshift      All|All|All               All                   All      3.389559701788018         0.4858967663038172         1.5589863562994077         -0.8762481448440332        
