#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4675.461685977304     All      0.8988573292353281         0.43691465141932895        1.5459033341522987         -0.08148336190134664       
Zeropoint     AB|SDSS|SDSS_g            3578.0652829436754    All      -1.03064480470877          0.31498626089234705        -0.5749319760906424        0.4126597344875242         
Zeropoint     AB|SDSS|SDSS_i            5669.814481724471     All      1.0432070389371595         0.23456304592244237        -1.149639074626252         -0.31470506392133996       
Zeropoint     AB|SDSS|SDSS_z            6740.936790674419     All      0.08299166467368291        0.011693856898276067       0.16513094596416478        -0.01585500592127566       
Check         All|All|All               All                   All      0.9944112281374002         0.9981578151323944         -0.013536770600430792      0.0006163027435619334      
Lambda        AB|SDSS|SDSS_r            4675.461685977304     All      -0.0003997902382480786     -0.00014084413464946383    -0.0021785641756367886     -1.2872048359487062e-05    
Lambda        AB|SDSS|SDSS_g            3578.0652829436754    All      -0.0015658809153437643     0.0004583082045462535      -0.0006135093760520665     0.0006319668844856302      
Lambda        AB|SDSS|SDSS_i            5669.814481724471     All      -0.00017958975552318087    -1.2535601918945907e-05    0.0006764270399083143      8.46008658213922e-05       
Lambda        AB|SDSS|SDSS_z            6740.936790674419     All      -0.00012370411123965278    -2.2277533890395825e-05    -0.00020016355397763994    2.4105592981863286e-05     
MWEBV         All|All|All               All                   All      -0.6215645105754737        -2.7708459018134235        -0.12374442483397141       -0.7056138037264508        
Redshift      All|All|All               All                   All      7.197002102181966          0.1953228503857929         -1.736121383553868         -2.3581524043462716        
